"FPR","k","maxN"
0.02357,"3",12
0.03046,"3",13
0.03557,"3",14
0.03967,"3",15
0.04337,"3",16
0.04652,"3",17
0.04975,"3",18
0.05257,"3",19
0.05481,"3",20
0.05716,"3",21
0.05891,"3",22
0.06087,"3",23
0.06278,"3",24
0.06455,"3",25
0.06651,"3",26
0.06809,"3",27
0.06964,"3",28
0.07093,"3",29
0.0721,"3",30
0.07336,"3",31
0.07438,"3",32
0.07557,"3",33
0.07658,"3",34
0.07758,"3",35
0.07872,"3",36
0.07961,"3",37
0.08069,"3",38
0.08164,"3",39
0.08247,"3",40
0.08328,"3",41
0.08422,"3",42
0.08494,"3",43
0.08565,"3",44
0.08636,"3",45
0.08695,"3",46
0.08762,"3",47
0.08831,"3",48
0.08903,"3",49
0.0896,"3",50
0.01686,"4",12
0.02121,"4",13
0.02516,"4",14
0.02839,"4",15
0.03111,"4",16
0.03344,"4",17
0.03575,"4",18
0.03804,"4",19
0.04004,"4",20
0.04168,"4",21
0.04325,"4",22
0.04455,"4",23
0.04588,"4",24
0.04717,"4",25
0.04839,"4",26
0.04958,"4",27
0.05072,"4",28
0.05196,"4",29
0.05295,"4",30
0.05403,"4",31
0.05501,"4",32
0.05586,"4",33
0.05672,"4",34
0.05738,"4",35
0.05811,"4",36
0.05896,"4",37
0.05968,"4",38
0.06044,"4",39
0.06119,"4",40
0.06188,"4",41
0.06255,"4",42
0.06317,"4",43
0.06368,"4",44
0.06422,"4",45
0.06473,"4",46
0.06533,"4",47
0.06587,"4",48
0.06636,"4",49
0.06687,"4",50
0.0102,"6",12
0.01319,"6",13
0.01563,"6",14
0.01779,"6",15
0.01961,"6",16
0.02125,"6",17
0.02284,"6",18
0.02426,"6",19
0.02564,"6",20
0.0269,"6",21
0.02817,"6",22
0.02919,"6",23
0.03012,"6",24
0.03102,"6",25
0.03199,"6",26
0.03268,"6",27
0.03343,"6",28
0.03413,"6",29
0.03487,"6",30
0.03554,"6",31
0.03625,"6",32
0.03678,"6",33
0.03746,"6",34
0.03795,"6",35
0.03852,"6",36
0.03906,"6",37
0.03957,"6",38
0.04011,"6",39
0.04047,"6",40
0.04089,"6",41
0.04121,"6",42
0.04175,"6",43
0.0422,"6",44
0.04257,"6",45
0.04296,"6",46
0.04332,"6",47
0.04368,"6",48
0.044,"6",49
0.04433,"6",50
0.05,"fixed N NHST",12
0.05,"fixed N NHST",13
0.05,"fixed N NHST",14
0.05,"fixed N NHST",15
0.05,"fixed N NHST",16
0.05,"fixed N NHST",17
0.05,"fixed N NHST",18
0.05,"fixed N NHST",19
0.05,"fixed N NHST",20
0.05,"fixed N NHST",21
0.05,"fixed N NHST",22
0.05,"fixed N NHST",23
0.05,"fixed N NHST",24
0.05,"fixed N NHST",25
0.05,"fixed N NHST",26
0.05,"fixed N NHST",27
0.05,"fixed N NHST",28
0.05,"fixed N NHST",29
0.05,"fixed N NHST",30
0.05,"fixed N NHST",31
0.05,"fixed N NHST",32
0.05,"fixed N NHST",33
0.05,"fixed N NHST",34
0.05,"fixed N NHST",35
0.05,"fixed N NHST",36
0.05,"fixed N NHST",37
0.05,"fixed N NHST",38
0.05,"fixed N NHST",39
0.05,"fixed N NHST",40
0.05,"fixed N NHST",41
0.05,"fixed N NHST",42
0.05,"fixed N NHST",43
0.05,"fixed N NHST",44
0.05,"fixed N NHST",45
0.05,"fixed N NHST",46
0.05,"fixed N NHST",47
0.05,"fixed N NHST",48
0.05,"fixed N NHST",49
0.05,"fixed N NHST",50
