"FPR","k","maxN"
0.0268,"3",12
0.0342,"3",13
0.03918,"3",14
0.0441,"3",15
0.04798,"3",16
0.05158,"3",17
0.05444,"3",18
0.0573,"3",19
0.05976,"3",20
0.06222,"3",21
0.0641,"3",22
0.06622,"3",23
0.06822,"3",24
0.07002,"3",25
0.07196,"3",26
0.0733,"3",27
0.07454,"3",28
0.07586,"3",29
0.07726,"3",30
0.07838,"3",31
0.07948,"3",32
0.0806,"3",33
0.08158,"3",34
0.08288,"3",35
0.0839,"3",36
0.08496,"3",37
0.0857,"3",38
0.08668,"3",39
0.08764,"3",40
0.08854,"3",41
0.08928,"3",42
0.09002,"3",43
0.09082,"3",44
0.09156,"3",45
0.09232,"3",46
0.09302,"3",47
0.09394,"3",48
0.0946,"3",49
0.0953,"3",50
0.09598,"3",51
0.09668,"3",52
0.0973,"3",53
0.09798,"3",54
0.09856,"3",55
0.09906,"3",56
0.0996,"3",57
0.10016,"3",58
0.10074,"3",59
0.1012,"3",60
0.1016,"3",61
0.102,"3",62
0.1024,"3",63
0.10286,"3",64
0.10328,"3",65
0.10368,"3",66
0.10412,"3",67
0.10454,"3",68
0.10518,"3",69
0.10556,"3",70
0.10612,"3",71
0.10646,"3",72
0.1068,"3",73
0.10724,"3",74
0.10764,"3",75
0.10812,"3",76
0.10846,"3",77
0.10876,"3",78
0.10904,"3",79
0.10922,"3",80
0.1096,"3",81
0.10984,"3",82
0.11008,"3",83
0.1105,"3",84
0.11062,"3",85
0.111,"3",86
0.1112,"3",87
0.11146,"3",88
0.11186,"3",89
0.11216,"3",90
0.11242,"3",91
0.11268,"3",92
0.11294,"3",93
0.1133,"3",94
0.11364,"3",95
0.11378,"3",96
0.11406,"3",97
0.11418,"3",98
0.11438,"3",99
0.1147,"3",100
0.11494,"3",101
0.11518,"3",102
0.11544,"3",103
0.11572,"3",104
0.11596,"3",105
0.1162,"3",106
0.11642,"3",107
0.11664,"3",108
0.11688,"3",109
0.11708,"3",110
0.11726,"3",111
0.11748,"3",112
0.1178,"3",113
0.11792,"3",114
0.11816,"3",115
0.11836,"3",116
0.1186,"3",117
0.11892,"3",118
0.1191,"3",119
0.1194,"3",120
0.11958,"3",121
0.11972,"3",122
0.11986,"3",123
0.12002,"3",124
0.1201,"3",125
0.12032,"3",126
0.12048,"3",127
0.12058,"3",128
0.12072,"3",129
0.12096,"3",130
0.12116,"3",131
0.12128,"3",132
0.12144,"3",133
0.12162,"3",134
0.12168,"3",135
0.1219,"3",136
0.1221,"3",137
0.12238,"3",138
0.12254,"3",139
0.12276,"3",140
0.12284,"3",141
0.12298,"3",142
0.12314,"3",143
0.12324,"3",144
0.12336,"3",145
0.12354,"3",146
0.12378,"3",147
0.12392,"3",148
0.12404,"3",149
0.1241,"3",150
0.1242,"3",151
0.12434,"3",152
0.1246,"3",153
0.1247,"3",154
0.12488,"3",155
0.12496,"3",156
0.12514,"3",157
0.12516,"3",158
0.12528,"3",159
0.1254,"3",160
0.12556,"3",161
0.12566,"3",162
0.12574,"3",163
0.12594,"3",164
0.1261,"3",165
0.12618,"3",166
0.12638,"3",167
0.12652,"3",168
0.12674,"3",169
0.1268,"3",170
0.12698,"3",171
0.12704,"3",172
0.1272,"3",173
0.12726,"3",174
0.12732,"3",175
0.12736,"3",176
0.1275,"3",177
0.1276,"3",178
0.12778,"3",179
0.12792,"3",180
0.12804,"3",181
0.12812,"3",182
0.12826,"3",183
0.12836,"3",184
0.1284,"3",185
0.12862,"3",186
0.12876,"3",187
0.12884,"3",188
0.12898,"3",189
0.129,"3",190
0.12908,"3",191
0.12926,"3",192
0.12938,"3",193
0.12948,"3",194
0.12958,"3",195
0.12976,"3",196
0.12986,"3",197
0.12988,"3",198
0.12992,"3",199
0.12996,"3",200
0.01746,"4",12
0.0226,"4",13
0.02672,"4",14
0.02984,"4",15
0.03274,"4",16
0.03544,"4",17
0.03754,"4",18
0.03962,"4",19
0.04186,"4",20
0.04372,"4",21
0.0455,"4",22
0.04694,"4",23
0.04852,"4",24
0.05004,"4",25
0.05162,"4",26
0.0526,"4",27
0.05362,"4",28
0.05474,"4",29
0.05572,"4",30
0.05656,"4",31
0.05732,"4",32
0.05812,"4",33
0.05916,"4",34
0.05994,"4",35
0.06066,"4",36
0.06166,"4",37
0.0623,"4",38
0.06294,"4",39
0.06358,"4",40
0.0642,"4",41
0.0647,"4",42
0.0652,"4",43
0.06576,"4",44
0.06626,"4",45
0.06708,"4",46
0.06776,"4",47
0.06828,"4",48
0.0689,"4",49
0.06934,"4",50
0.06996,"4",51
0.07032,"4",52
0.07074,"4",53
0.07116,"4",54
0.07172,"4",55
0.07206,"4",56
0.07254,"4",57
0.07288,"4",58
0.0734,"4",59
0.07388,"4",60
0.07426,"4",61
0.07474,"4",62
0.07506,"4",63
0.0754,"4",64
0.07572,"4",65
0.07612,"4",66
0.0764,"4",67
0.07682,"4",68
0.07724,"4",69
0.07758,"4",70
0.07796,"4",71
0.07824,"4",72
0.07856,"4",73
0.0789,"4",74
0.07918,"4",75
0.07954,"4",76
0.07992,"4",77
0.0804,"4",78
0.08088,"4",79
0.08104,"4",80
0.08126,"4",81
0.08142,"4",82
0.08158,"4",83
0.0818,"4",84
0.082,"4",85
0.08214,"4",86
0.08238,"4",87
0.0826,"4",88
0.08276,"4",89
0.08296,"4",90
0.08322,"4",91
0.08338,"4",92
0.0837,"4",93
0.0839,"4",94
0.08408,"4",95
0.08432,"4",96
0.08448,"4",97
0.0847,"4",98
0.0849,"4",99
0.085,"4",100
0.08514,"4",101
0.08532,"4",102
0.0855,"4",103
0.0856,"4",104
0.08584,"4",105
0.08596,"4",106
0.08612,"4",107
0.08632,"4",108
0.08648,"4",109
0.08666,"4",110
0.08686,"4",111
0.08702,"4",112
0.08724,"4",113
0.08744,"4",114
0.08768,"4",115
0.08776,"4",116
0.08798,"4",117
0.08824,"4",118
0.08826,"4",119
0.08852,"4",120
0.08864,"4",121
0.08884,"4",122
0.08908,"4",123
0.08912,"4",124
0.08924,"4",125
0.08942,"4",126
0.08964,"4",127
0.08986,"4",128
0.08996,"4",129
0.0902,"4",130
0.0903,"4",131
0.0905,"4",132
0.09058,"4",133
0.09068,"4",134
0.09076,"4",135
0.09086,"4",136
0.09098,"4",137
0.09118,"4",138
0.09136,"4",139
0.0914,"4",140
0.09156,"4",141
0.0917,"4",142
0.09182,"4",143
0.09198,"4",144
0.0921,"4",145
0.0922,"4",146
0.09222,"4",147
0.09228,"4",148
0.09234,"4",149
0.09248,"4",150
0.09264,"4",151
0.09272,"4",152
0.0928,"4",153
0.0929,"4",154
0.09294,"4",155
0.0931,"4",156
0.09318,"4",157
0.09334,"4",158
0.09348,"4",159
0.0936,"4",160
0.0937,"4",161
0.09374,"4",162
0.09376,"4",163
0.0938,"4",164
0.09394,"4",165
0.094,"4",166
0.09412,"4",167
0.09418,"4",168
0.09436,"4",169
0.09452,"4",170
0.09464,"4",171
0.0947,"4",172
0.09476,"4",173
0.09492,"4",174
0.095,"4",175
0.09508,"4",176
0.09516,"4",177
0.09526,"4",178
0.09532,"4",179
0.09536,"4",180
0.09554,"4",181
0.09562,"4",182
0.09578,"4",183
0.0959,"4",184
0.09596,"4",185
0.096,"4",186
0.09614,"4",187
0.09628,"4",188
0.09636,"4",189
0.09646,"4",190
0.09662,"4",191
0.09662,"4",192
0.09668,"4",193
0.09678,"4",194
0.0969,"4",195
0.097,"4",196
0.09712,"4",197
0.0972,"4",198
0.09724,"4",199
0.0973,"4",200
0.01,"6",12
0.0128,"6",13
0.01556,"6",14
0.01798,"6",15
0.01964,"6",16
0.0213,"6",17
0.02278,"6",18
0.02434,"6",19
0.02594,"6",20
0.02756,"6",21
0.02896,"6",22
0.02982,"6",23
0.0308,"6",24
0.03164,"6",25
0.0327,"6",26
0.03372,"6",27
0.0345,"6",28
0.03518,"6",29
0.03594,"6",30
0.03664,"6",31
0.03724,"6",32
0.03796,"6",33
0.03848,"6",34
0.03896,"6",35
0.0394,"6",36
0.03976,"6",37
0.0403,"6",38
0.04078,"6",39
0.04122,"6",40
0.0418,"6",41
0.04224,"6",42
0.0426,"6",43
0.04278,"6",44
0.04316,"6",45
0.04366,"6",46
0.04396,"6",47
0.04442,"6",48
0.04486,"6",49
0.04532,"6",50
0.04574,"6",51
0.04618,"6",52
0.0467,"6",53
0.04702,"6",54
0.04734,"6",55
0.04768,"6",56
0.048,"6",57
0.04822,"6",58
0.0485,"6",59
0.04878,"6",60
0.04902,"6",61
0.04924,"6",62
0.04942,"6",63
0.04964,"6",64
0.04984,"6",65
0.05014,"6",66
0.05034,"6",67
0.0505,"6",68
0.05074,"6",69
0.05108,"6",70
0.05128,"6",71
0.0515,"6",72
0.05168,"6",73
0.0519,"6",74
0.05222,"6",75
0.05244,"6",76
0.05262,"6",77
0.05276,"6",78
0.05314,"6",79
0.0534,"6",80
0.05352,"6",81
0.05374,"6",82
0.05382,"6",83
0.05398,"6",84
0.05418,"6",85
0.05436,"6",86
0.05446,"6",87
0.05466,"6",88
0.05482,"6",89
0.055,"6",90
0.05514,"6",91
0.0553,"6",92
0.0554,"6",93
0.05568,"6",94
0.05576,"6",95
0.05588,"6",96
0.05598,"6",97
0.05618,"6",98
0.05628,"6",99
0.05648,"6",100
0.05666,"6",101
0.05674,"6",102
0.0569,"6",103
0.05702,"6",104
0.0572,"6",105
0.05738,"6",106
0.05752,"6",107
0.05762,"6",108
0.0577,"6",109
0.05778,"6",110
0.05786,"6",111
0.05796,"6",112
0.05814,"6",113
0.0583,"6",114
0.0584,"6",115
0.0585,"6",116
0.0587,"6",117
0.05886,"6",118
0.05898,"6",119
0.05906,"6",120
0.05916,"6",121
0.05936,"6",122
0.05948,"6",123
0.05962,"6",124
0.05968,"6",125
0.0598,"6",126
0.05986,"6",127
0.05998,"6",128
0.06008,"6",129
0.0602,"6",130
0.06024,"6",131
0.06034,"6",132
0.06044,"6",133
0.0605,"6",134
0.0607,"6",135
0.06078,"6",136
0.06082,"6",137
0.0609,"6",138
0.06108,"6",139
0.0612,"6",140
0.06132,"6",141
0.06136,"6",142
0.06142,"6",143
0.06148,"6",144
0.0616,"6",145
0.0617,"6",146
0.06178,"6",147
0.06188,"6",148
0.06194,"6",149
0.06198,"6",150
0.06202,"6",151
0.06206,"6",152
0.06214,"6",153
0.06226,"6",154
0.06232,"6",155
0.0624,"6",156
0.06242,"6",157
0.06248,"6",158
0.0626,"6",159
0.0627,"6",160
0.06286,"6",161
0.06292,"6",162
0.06298,"6",163
0.06306,"6",164
0.0631,"6",165
0.06312,"6",166
0.06316,"6",167
0.0632,"6",168
0.06322,"6",169
0.0633,"6",170
0.06334,"6",171
0.06346,"6",172
0.0636,"6",173
0.06376,"6",174
0.0639,"6",175
0.06398,"6",176
0.06402,"6",177
0.06408,"6",178
0.06416,"6",179
0.0642,"6",180
0.0643,"6",181
0.06442,"6",182
0.06448,"6",183
0.06452,"6",184
0.06452,"6",185
0.0646,"6",186
0.06464,"6",187
0.06466,"6",188
0.0648,"6",189
0.0649,"6",190
0.06496,"6",191
0.06506,"6",192
0.0651,"6",193
0.06516,"6",194
0.06518,"6",195
0.06522,"6",196
0.06534,"6",197
0.0654,"6",198
0.06546,"6",199
0.0655,"6",200
0.05,"fixed N NHST",12
0.05,"fixed N NHST",13
0.05,"fixed N NHST",14
0.05,"fixed N NHST",15
0.05,"fixed N NHST",16
0.05,"fixed N NHST",17
0.05,"fixed N NHST",18
0.05,"fixed N NHST",19
0.05,"fixed N NHST",20
0.05,"fixed N NHST",21
0.05,"fixed N NHST",22
0.05,"fixed N NHST",23
0.05,"fixed N NHST",24
0.05,"fixed N NHST",25
0.05,"fixed N NHST",26
0.05,"fixed N NHST",27
0.05,"fixed N NHST",28
0.05,"fixed N NHST",29
0.05,"fixed N NHST",30
0.05,"fixed N NHST",31
0.05,"fixed N NHST",32
0.05,"fixed N NHST",33
0.05,"fixed N NHST",34
0.05,"fixed N NHST",35
0.05,"fixed N NHST",36
0.05,"fixed N NHST",37
0.05,"fixed N NHST",38
0.05,"fixed N NHST",39
0.05,"fixed N NHST",40
0.05,"fixed N NHST",41
0.05,"fixed N NHST",42
0.05,"fixed N NHST",43
0.05,"fixed N NHST",44
0.05,"fixed N NHST",45
0.05,"fixed N NHST",46
