"FPR","k","maxN"
0.03586,"3",3
0.05208,"3",4
0.06384,"3",5
0.07322,"3",6
0.0806,"3",7
0.08676,"3",8
0.0923,"3",9
0.097,"3",10
0.10104,"3",11
0.10486,"3",12
0.10866,"3",13
0.11152,"3",14
0.1147,"3",15
0.11736,"3",16
0.12002,"3",17
0.12218,"3",18
0.12446,"3",19
0.12648,"3",20
0.12852,"3",21
0.13002,"3",22
0.13172,"3",23
0.1332,"3",24
0.13474,"3",25
0.13636,"3",26
0.13742,"3",27
0.13848,"3",28
0.13948,"3",29
0.1407,"3",30
0.1416,"3",31
0.14252,"3",32
0.14348,"3",33
0.14422,"3",34
0.14532,"3",35
0.14614,"3",36
0.14718,"3",37
0.14786,"3",38
0.14872,"3",39
0.14958,"3",40
0.15038,"3",41
0.15112,"3",42
0.15182,"3",43
0.15254,"3",44
0.15318,"3",45
0.15388,"3",46
0.15454,"3",47
0.15532,"3",48
0.15584,"3",49
0.15644,"3",50
0.15704,"3",51
0.15772,"3",52
0.15832,"3",53
0.15882,"3",54
0.15936,"3",55
0.15982,"3",56
0.16032,"3",57
0.16082,"3",58
0.16134,"3",59
0.16178,"3",60
0.16216,"3",61
0.16254,"3",62
0.16292,"3",63
0.1633,"3",64
0.1637,"3",65
0.16404,"3",66
0.16446,"3",67
0.16488,"3",68
0.16542,"3",69
0.16574,"3",70
0.16618,"3",71
0.1665,"3",72
0.16682,"3",73
0.16724,"3",74
0.16758,"3",75
0.16798,"3",76
0.1683,"3",77
0.1686,"3",78
0.16882,"3",79
0.16898,"3",80
0.1693,"3",81
0.16952,"3",82
0.16972,"3",83
0.1701,"3",84
0.1702,"3",85
0.17056,"3",86
0.17076,"3",87
0.171,"3",88
0.1714,"3",89
0.17168,"3",90
0.17194,"3",91
0.17214,"3",92
0.17236,"3",93
0.17272,"3",94
0.17306,"3",95
0.17322,"3",96
0.1735,"3",97
0.1736,"3",98
0.1738,"3",99
0.17406,"3",100
0.17426,"3",101
0.17446,"3",102
0.17466,"3",103
0.1749,"3",104
0.17508,"3",105
0.17532,"3",106
0.17552,"3",107
0.17574,"3",108
0.17596,"3",109
0.17614,"3",110
0.17634,"3",111
0.17656,"3",112
0.17688,"3",113
0.177,"3",114
0.17718,"3",115
0.17738,"3",116
0.17758,"3",117
0.17788,"3",118
0.17804,"3",119
0.17832,"3",120
0.17848,"3",121
0.1786,"3",122
0.17872,"3",123
0.17888,"3",124
0.17894,"3",125
0.1791,"3",126
0.17926,"3",127
0.17932,"3",128
0.17944,"3",129
0.17966,"3",130
0.17986,"3",131
0.17996,"3",132
0.18014,"3",133
0.1803,"3",134
0.18038,"3",135
0.18058,"3",136
0.18076,"3",137
0.18104,"3",138
0.18118,"3",139
0.18136,"3",140
0.18146,"3",141
0.18154,"3",142
0.1817,"3",143
0.18178,"3",144
0.1819,"3",145
0.18204,"3",146
0.18226,"3",147
0.18238,"3",148
0.18252,"3",149
0.18258,"3",150
0.18266,"3",151
0.18282,"3",152
0.18302,"3",153
0.18312,"3",154
0.18328,"3",155
0.18336,"3",156
0.1835,"3",157
0.18352,"3",158
0.18362,"3",159
0.18374,"3",160
0.18392,"3",161
0.18402,"3",162
0.1841,"3",163
0.18426,"3",164
0.18438,"3",165
0.18442,"3",166
0.18462,"3",167
0.18472,"3",168
0.18492,"3",169
0.18498,"3",170
0.18514,"3",171
0.1852,"3",172
0.18536,"3",173
0.18542,"3",174
0.18548,"3",175
0.18552,"3",176
0.18564,"3",177
0.18576,"3",178
0.18592,"3",179
0.186,"3",180
0.18612,"3",181
0.18618,"3",182
0.18632,"3",183
0.1864,"3",184
0.18644,"3",185
0.18668,"3",186
0.18682,"3",187
0.1869,"3",188
0.18704,"3",189
0.18706,"3",190
0.18714,"3",191
0.1873,"3",192
0.18742,"3",193
0.18752,"3",194
0.1876,"3",195
0.18776,"3",196
0.18786,"3",197
0.18788,"3",198
0.18792,"3",199
0.18796,"3",200
0.0224,"4",3
0.03426,"4",4
0.04262,"4",5
0.04958,"4",6
0.05496,"4",7
0.05996,"4",8
0.064,"4",9
0.06742,"4",10
0.07054,"4",11
0.0733,"4",12
0.07592,"4",13
0.07856,"4",14
0.08072,"4",15
0.0829,"4",16
0.085,"4",17
0.08652,"4",18
0.08822,"4",19
0.0902,"4",20
0.09168,"4",21
0.09324,"4",22
0.09442,"4",23
0.09574,"4",24
0.09708,"4",25
0.09846,"4",26
0.09928,"4",27
0.10016,"4",28
0.10114,"4",29
0.102,"4",30
0.10272,"4",31
0.1033,"4",32
0.104,"4",33
0.1048,"4",34
0.10548,"4",35
0.10612,"4",36
0.10702,"4",37
0.10766,"4",38
0.1082,"4",39
0.1088,"4",40
0.1094,"4",41
0.10986,"4",42
0.11032,"4",43
0.1108,"4",44
0.11124,"4",45
0.112,"4",46
0.11264,"4",47
0.11312,"4",48
0.1136,"4",49
0.11394,"4",50
0.1145,"4",51
0.1148,"4",52
0.11522,"4",53
0.11564,"4",54
0.11612,"4",55
0.11642,"4",56
0.1169,"4",57
0.11724,"4",58
0.11768,"4",59
0.11808,"4",60
0.11846,"4",61
0.11886,"4",62
0.11918,"4",63
0.11946,"4",64
0.11976,"4",65
0.12012,"4",66
0.12038,"4",67
0.12076,"4",68
0.12114,"4",69
0.12148,"4",70
0.12182,"4",71
0.1221,"4",72
0.1224,"4",73
0.12272,"4",74
0.12298,"4",75
0.12332,"4",76
0.12368,"4",77
0.12416,"4",78
0.12462,"4",79
0.12474,"4",80
0.12496,"4",81
0.12512,"4",82
0.12528,"4",83
0.12548,"4",84
0.12568,"4",85
0.1258,"4",86
0.12604,"4",87
0.12624,"4",88
0.1264,"4",89
0.1266,"4",90
0.12684,"4",91
0.127,"4",92
0.12728,"4",93
0.12746,"4",94
0.1276,"4",95
0.12784,"4",96
0.128,"4",97
0.12818,"4",98
0.12838,"4",99
0.12848,"4",100
0.12862,"4",101
0.1288,"4",102
0.12896,"4",103
0.12906,"4",104
0.12924,"4",105
0.12936,"4",106
0.1295,"4",107
0.1297,"4",108
0.12986,"4",109
0.13004,"4",110
0.13022,"4",111
0.13038,"4",112
0.13058,"4",113
0.13078,"4",114
0.131,"4",115
0.13108,"4",116
0.1313,"4",117
0.13154,"4",118
0.13156,"4",119
0.13182,"4",120
0.13194,"4",121
0.13214,"4",122
0.13238,"4",123
0.13242,"4",124
0.13254,"4",125
0.13272,"4",126
0.1329,"4",127
0.13312,"4",128
0.13322,"4",129
0.13344,"4",130
0.13354,"4",131
0.13374,"4",132
0.13382,"4",133
0.13392,"4",134
0.13396,"4",135
0.13402,"4",136
0.13414,"4",137
0.13432,"4",138
0.13448,"4",139
0.13452,"4",140
0.13466,"4",141
0.13478,"4",142
0.1349,"4",143
0.13506,"4",144
0.13516,"4",145
0.13526,"4",146
0.13528,"4",147
0.13534,"4",148
0.1354,"4",149
0.13554,"4",150
0.1357,"4",151
0.13578,"4",152
0.13584,"4",153
0.13594,"4",154
0.13596,"4",155
0.13612,"4",156
0.1362,"4",157
0.13636,"4",158
0.13648,"4",159
0.1366,"4",160
0.1367,"4",161
0.13674,"4",162
0.13676,"4",163
0.1368,"4",164
0.13694,"4",165
0.137,"4",166
0.1371,"4",167
0.13716,"4",168
0.13734,"4",169
0.1375,"4",170
0.13762,"4",171
0.13768,"4",172
0.13772,"4",173
0.13788,"4",174
0.13796,"4",175
0.138,"4",176
0.13808,"4",177
0.13818,"4",178
0.13824,"4",179
0.13828,"4",180
0.13844,"4",181
0.13852,"4",182
0.13868,"4",183
0.1388,"4",184
0.13886,"4",185
0.13888,"4",186
0.139,"4",187
0.13912,"4",188
0.1392,"4",189
0.1393,"4",190
0.13946,"4",191
0.13946,"4",192
0.13952,"4",193
0.13962,"4",194
0.13974,"4",195
0.13984,"4",196
0.13994,"4",197
0.14002,"4",198
0.14004,"4",199
0.1401,"4",200
0.0118,"6",3
0.01826,"6",4
0.02326,"6",5
0.02798,"6",6
0.03124,"6",7
0.03458,"6",8
0.0372,"6",9
0.03968,"6",10
0.04206,"6",11
0.0438,"6",12
0.04538,"6",13
0.04712,"6",14
