"FPR","k","maxN"
0.02834,"3",12
0.03478,"3",13
0.0394,"3",14
0.04362,"3",15
0.04716,"3",16
0.04972,"3",17
0.0527,"3",18
0.05452,"3",19
0.05686,"3",20
0.05894,"3",21
0.061,"3",22
0.06312,"3",23
0.0648,"3",24
0.06634,"3",25
0.06822,"3",26
0.06986,"3",27
0.07124,"3",28
0.07224,"3",29
0.07334,"3",30
0.07446,"3",31
0.07554,"3",32
0.07634,"3",33
0.07724,"3",34
0.07814,"3",35
0.079,"3",36
0.0798,"3",37
0.0807,"3",38
0.08144,"3",39
0.082,"3",40
0.0828,"3",41
0.08352,"3",42
0.08408,"3",43
0.08474,"3",44
0.08528,"3",45
0.08578,"3",46
0.08624,"3",47
0.08672,"3",48
0.08726,"3",49
0.0878,"3",50
0.08834,"3",51
0.08888,"3",52
0.08936,"3",53
0.08976,"3",54
0.09022,"3",55
0.09086,"3",56
0.09128,"3",57
0.09154,"3",58
0.09192,"3",59
0.09228,"3",60
0.09276,"3",61
0.09306,"3",62
0.09354,"3",63
0.09382,"3",64
0.09424,"3",65
0.0946,"3",66
0.09504,"3",67
0.09542,"3",68
0.09566,"3",69
0.09592,"3",70
0.09622,"3",71
0.09652,"3",72
0.09678,"3",73
0.09706,"3",74
0.09738,"3",75
0.09758,"3",76
0.09794,"3",77
0.0984,"3",78
0.09866,"3",79
0.099,"3",80
0.0993,"3",81
0.09952,"3",82
0.0998,"3",83
0.09996,"3",84
0.10024,"3",85
0.10052,"3",86
0.10072,"3",87
0.1009,"3",88
0.10114,"3",89
0.10126,"3",90
0.10152,"3",91
0.10162,"3",92
0.10188,"3",93
0.10208,"3",94
0.10238,"3",95
0.1026,"3",96
0.10278,"3",97
0.10308,"3",98
0.10326,"3",99
0.10336,"3",100
0.1036,"3",101
0.10376,"3",102
0.10382,"3",103
0.10398,"3",104
0.1042,"3",105
0.1043,"3",106
0.1046,"3",107
0.1048,"3",108
0.10502,"3",109
0.10512,"3",110
0.10526,"3",111
0.10546,"3",112
0.10562,"3",113
0.1058,"3",114
0.10596,"3",115
0.1061,"3",116
0.10628,"3",117
0.10642,"3",118
0.10656,"3",119
0.10664,"3",120
0.10684,"3",121
0.10706,"3",122
0.1072,"3",123
0.10742,"3",124
0.10756,"3",125
0.10764,"3",126
0.10776,"3",127
0.10788,"3",128
0.10812,"3",129
0.10824,"3",130
0.1084,"3",131
0.1085,"3",132
0.1087,"3",133
0.10874,"3",134
0.10888,"3",135
0.10912,"3",136
0.10932,"3",137
