"FPR","k","maxN"
0.05258,"3",3
0.0719,"3",4
0.08448,"3",5
0.0938,"3",6
0.1008,"3",7
0.10674,"3",8
0.11252,"3",9
0.11676,"3",10
0.12038,"3",11
0.12382,"3",12
0.12694,"3",13
0.12952,"3",14
0.1319,"3",15
0.1341,"3",16
0.13594,"3",17
0.13806,"3",18
0.13938,"3",19
0.14108,"3",20
0.14274,"3",21
0.14424,"3",22
0.1459,"3",23
0.1473,"3",24
0.14834,"3",25
0.14982,"3",26
0.1513,"3",27
0.15236,"3",28
0.1531,"3",29
0.15396,"3",30
0.15488,"3",31
0.15574,"3",32
0.15638,"3",33
0.15712,"3",34
0.15788,"3",35
0.15862,"3",36
0.15924,"3",37
0.15998,"3",38
0.16064,"3",39
0.16114,"3",40
0.16178,"3",41
0.1624,"3",42
0.16288,"3",43
0.16348,"3",44
0.16396,"3",45
0.16444,"3",46
0.1648,"3",47
0.16522,"3",48
0.1657,"3",49
0.16616,"3",50
0.16662,"3",51
0.16708,"3",52
0.1675,"3",53
0.16784,"3",54
0.16818,"3",55
0.16868,"3",56
0.16904,"3",57
0.1693,"3",58
0.16962,"3",59
0.16994,"3",60
0.17038,"3",61
0.17064,"3",62
0.17106,"3",63
0.17126,"3",64
0.17164,"3",65
0.172,"3",66
0.1724,"3",67
0.17272,"3",68
0.17296,"3",69
0.1732,"3",70
0.17348,"3",71
0.17374,"3",72
0.174,"3",73
0.17426,"3",74
0.17454,"3",75
0.17468,"3",76
0.175,"3",77
0.17536,"3",78
0.17558,"3",79
0.1759,"3",80
0.17614,"3",81
0.17628,"3",82
0.1765,"3",83
0.17662,"3",84
0.17684,"3",85
0.17706,"3",86
0.1772,"3",87
0.17736,"3",88
0.17758,"3",89
0.17766,"3",90
0.17788,"3",91
0.17796,"3",92
0.17822,"3",93
0.17838,"3",94
0.17864,"3",95
0.17884,"3",96
0.179,"3",97
0.17924,"3",98
0.1794,"3",99
0.1795,"3",100
0.17968,"3",101
0.17982,"3",102
0.17988,"3",103
0.18,"3",104
0.1802,"3",105
0.1803,"3",106
0.18054,"3",107
0.1807,"3",108
0.18088,"3",109
0.18098,"3",110
0.18112,"3",111
0.18128,"3",112
0.1814,"3",113
0.18152,"3",114
0.18164,"3",115
0.18172,"3",116
0.18186,"3",117
0.182,"3",118
0.18214,"3",119
0.18222,"3",120
0.18242,"3",121
0.1826,"3",122
0.18268,"3",123
0.1829,"3",124
0.183,"3",125
0.18308,"3",126
0.18316,"3",127
0.18328,"3",128
0.18352,"3",129
0.18362,"3",130
0.18378,"3",131
0.18388,"3",132
0.18406,"3",133
0.18408,"3",134
0.18422,"3",135
0.18442,"3",136
0.18462,"3",137
0.18476,"3",138
0.18486,"3",139
0.18498,"3",140
0.18514,"3",141
0.18528,"3",142
0.18538,"3",143
0.18544,"3",144
0.18554,"3",145
0.18558,"3",146
0.18576,"3",147
0.18588,"3",148
0.18598,"3",149
0.18614,"3",150
0.18624,"3",151
0.18632,"3",152
0.1864,"3",153
0.18644,"3",154
0.1866,"3",155
0.1867,"3",156
0.18682,"3",157
0.1869,"3",158
0.18706,"3",159
0.18712,"3",160
0.18716,"3",161
0.18722,"3",162
0.1873,"3",163
0.1874,"3",164
0.18756,"3",165
0.18766,"3",166
0.18778,"3",167
0.18782,"3",168
0.1879,"3",169
0.188,"3",170
0.188,"3",171
0.18822,"3",172
0.18832,"3",173
0.18836,"3",174
0.18846,"3",175
0.18858,"3",176
0.18864,"3",177
0.18874,"3",178
0.1888,"3",179
0.18888,"3",180
0.18896,"3",181
0.18912,"3",182
0.18928,"3",183
0.18932,"3",184
0.18934,"3",185
0.18944,"3",186
0.18952,"3",187
0.18956,"3",188
0.18966,"3",189
0.18974,"3",190
0.18984,"3",191
0.18986,"3",192
0.18992,"3",193
0.19002,"3",194
0.19012,"3",195
0.19024,"3",196
0.19028,"3",197
0.19034,"3",198
0.19038,"3",199
0.19042,"3",200
0.03412,"4",3
0.05032,"4",4
0.05982,"4",5
0.06724,"4",6
0.07298,"4",7
0.07814,"4",8
0.08282,"4",9
0.08628,"4",10
0.08958,"4",11
0.09196,"4",12
0.0944,"4",13
0.09654,"4",14
0.09874,"4",15
0.10048,"4",16
0.10186,"4",17
0.10368,"4",18
0.10514,"4",19
0.10628,"4",20
0.10758,"4",21
0.10888,"4",22
0.11006,"4",23
0.11124,"4",24
0.11238,"4",25
0.11356,"4",26
0.11442,"4",27
0.11546,"4",28
0.11618,"4",29
0.11668,"4",30
0.11738,"4",31
0.11802,"4",32
0.11872,"4",33
0.11934,"4",34
0.11996,"4",35
0.12042,"4",36
0.12102,"4",37
0.1215,"4",38
0.12214,"4",39
0.12276,"4",40
0.1233,"4",41
0.12368,"4",42
0.12414,"4",43
0.1246,"4",44
0.12498,"4",45
0.12546,"4",46
0.12586,"4",47
0.12614,"4",48
0.12646,"4",49
0.1268,"4",50
0.1273,"4",51
0.1277,"4",52
0.12808,"4",53
0.12846,"4",54
0.12888,"4",55
0.12908,"4",56
0.1294,"4",57
0.1297,"4",58
0.1299,"4",59
0.13014,"4",60
0.1304,"4",61
0.13074,"4",62
0.13096,"4",63
0.13128,"4",64
0.1315,"4",65
0.13178,"4",66
0.13208,"4",67
0.13248,"4",68
0.13274,"4",69
0.133,"4",70
0.13322,"4",71
0.13338,"4",72
0.1335,"4",73
0.13374,"4",74
0.13382,"4",75
0.13402,"4",76
0.13424,"4",77
0.13444,"4",78
0.13482,"4",79
0.135,"4",80
0.13528,"4",81
0.13544,"4",82
0.13558,"4",83
0.13572,"4",84
0.13584,"4",85
0.13606,"4",86
0.1362,"4",87
0.13636,"4",88
0.1366,"4",89
0.13668,"4",90
0.13686,"4",91
0.13696,"4",92
0.13708,"4",93
0.13722,"4",94
0.1374,"4",95
0.13748,"4",96
0.13758,"4",97
0.13772,"4",98
0.13786,"4",99
0.138,"4",100
0.1381,"4",101
0.1382,"4",102
0.13838,"4",103
0.13844,"4",104
0.13858,"4",105
0.13872,"4",106
0.13886,"4",107
0.13906,"4",108
0.13914,"4",109
0.13934,"4",110
0.13942,"4",111
0.13956,"4",112
0.13962,"4",113
0.13974,"4",114
0.13992,"4",115
0.14002,"4",116
0.14014,"4",117
0.14022,"4",118
0.14032,"4",119
0.1405,"4",120
0.14062,"4",121
0.14066,"4",122
0.14088,"4",123
0.14102,"4",124
0.14118,"4",125
0.1413,"4",126
0.14136,"4",127
0.14152,"4",128
0.14168,"4",129
0.1418,"4",130
0.14196,"4",131
0.14206,"4",132
0.14214,"4",133
0.14222,"4",134
0.1423,"4",135
0.14246,"4",136
0.14262,"4",137
0.14274,"4",138
0.14286,"4",139
0.14294,"4",140
0.14302,"4",141
0.14318,"4",142
0.14322,"4",143
0.14326,"4",144
0.14328,"4",145
0.1434,"4",146
0.1435,"4",147
0.14364,"4",148
0.14372,"4",149
0.14384,"4",150
0.14392,"4",151
0.14402,"4",152
0.14408,"4",153
0.1441,"4",154
0.14412,"4",155
0.14424,"4",156
0.14436,"4",157
0.14438,"4",158
0.14444,"4",159
0.14454,"4",160
0.14462,"4",161
0.14474,"4",162
0.14484,"4",163
0.14488,"4",164
0.14492,"4",165
0.14498,"4",166
0.14502,"4",167
0.1451,"4",168
0.14516,"4",169
0.1452,"4",170
0.14526,"4",171
0.14534,"4",172
0.14536,"4",173
0.1455,"4",174
0.14556,"4",175
0.14564,"4",176
0.14568,"4",177
0.14576,"4",178
0.14592,"4",179
0.14602,"4",180
0.14608,"4",181
0.14616,"4",182
0.14626,"4",183
0.14634,"4",184
0.14644,"4",185
0.14648,"4",186
0.14658,"4",187
0.1466,"4",188
0.1466,"4",189
0.14662,"4",190
0.1467,"4",191
0.14676,"4",192
0.14692,"4",193
0.14696,"4",194
0.14702,"4",195
0.14706,"4",196
0.1471,"4",197
0.14714,"4",198
0.1472,"4",199
0.14726,"4",200
0.0188,"6",3
0.0292,"6",4
0.03634,"6",5
0.04162,"6",6
0.04588,"6",7
0.04934,"6",8
0.0524,"6",9
0.0554,"6",10
0.05772,"6",11
0.05952,"6",12
0.06124,"6",13
0.063,"6",14
0.06422,"6",15
0.06566,"6",16
0.06684,"6",17
0.06808,"6",18
0.06934,"6",19
0.07066,"6",20
0.07162,"6",21
0.0724,"6",22
0.07338,"6",23
0.07442,"6",24
0.0752,"6",25
0.0759,"6",26
0.07684,"6",27
0.07752,"6",28
0.07824,"6",29
0.07866,"6",30
0.07904,"6",31
0.07958,"6",32
0.07986,"6",33
0.08022,"6",34
0.08072,"6",35
0.08118,"6",36
0.08174,"6",37
0.08212,"6",38
0.08256,"6",39
0.0829,"6",40
0.08342,"6",41
