"k","maxN"
1.65,12
1.94,13
2.19,14
2.37999999999999,15
2.52999999999999,16
2.67999999999999,17
2.82999999999998,18
2.94999999999998,19
3.08999999999998,20
3.18999999999998,21
3.29999999999997,22
3.43999999999997,23
3.52999999999997,24
3.60999999999997,25
3.72999999999996,26
3.82999999999996,27
3.89999999999996,28
3.97999999999996,29
4.05999999999996,30
4.11999999999996,31
4.20999999999995,32
4.28999999999995,33
4.35999999999995,34
4.41999999999995,35
4.46999999999995,36
4.53999999999995,37
4.59999999999995,38
4.64999999999994,39
4.69999999999994,40
4.75999999999994,41
4.80999999999994,42
4.86999999999994,43
4.91999999999994,44
4.95999999999994,45
4.98999999999994,46
5.03999999999994,47
5.07999999999994,48
5.13999999999993,49
5.18999999999993,50
