"k","maxN"
1.68,12
1.99,13
2.25999999999999,14
2.47999999999999,15
2.66999999999999,16
2.82999999999998,17
2.99999999999998,18
3.14999999999998,19
3.25999999999997,20
3.37999999999997,21
3.49999999999997,22
3.58999999999997,23
3.70999999999996,24
3.78999999999996,25
3.87999999999996,26
3.97999999999996,27
4.06999999999996,28
4.16999999999995,29
4.24999999999995,30
4.33999999999995,31
4.40999999999995,32
4.48999999999995,33
4.54999999999995,34
4.61999999999995,35
4.66999999999994,36
4.73999999999994,37
4.79999999999994,38
4.85999999999994,39
4.90999999999994,40
4.96999999999994,41
4.99999999999994,42
5.06999999999994,43
5.11999999999993,44
5.15999999999993,45
5.19999999999993,46
5.25999999999993,47
5.30999999999993,48
5.33999999999993,49
5.37999999999993,50
