"k","maxN"
1.86,12
2.18,13
2.41999999999999,14
2.64999999999999,15
2.82999999999998,16
2.98999999999998,17
3.14999999999998,18
3.25999999999997,19
3.39999999999997,20
3.51999999999997,21
3.61999999999997,22
3.73999999999996,23
3.87999999999996,24
3.95999999999996,25
4.08999999999996,26
4.17999999999995,27
4.25999999999995,28
4.33999999999995,29
4.38999999999995,30
4.43999999999995,31
4.50999999999995,32
4.56999999999995,33
4.59999999999995,34
4.64999999999994,35
4.69999999999994,36
4.74999999999994,37
4.80999999999994,38
4.83999999999994,39
4.91999999999994,40
4.97999999999994,41
5.02999999999994,42
5.07999999999994,43
5.14999999999993,44
5.18999999999993,45
5.23999999999993,46
5.28999999999993,47
5.31999999999993,48
5.33999999999993,49
5.38999999999993,50
5.43999999999993,51
5.45999999999993,52
5.48999999999993,53
5.51999999999993,54
5.55999999999993,55
5.59999999999992,56
5.63999999999992,57
5.67999999999992,58
5.69999999999992,59
5.71999999999992,60
5.74999999999992,61
5.77999999999992,62
5.78999999999992,63
5.81999999999992,64
5.82999999999992,65
5.86999999999992,66
5.87999999999992,67
5.89999999999992,68
5.91999999999992,69
5.92999999999992,70
5.94999999999992,71
5.95999999999992,72
5.96999999999992,73
5.97999999999992,74
5.98999999999992,75
6.00999999999992,76
6.03999999999991,77
6.05999999999991,78
6.07999999999991,79
6.10999999999991,80
6.13999999999991,81
6.15999999999991,82
6.18999999999991,83
6.19999999999991,84
6.21999999999991,85
6.22999999999991,86
6.24999999999991,87
6.26999999999991,88
6.27999999999991,89
6.28999999999991,90
6.29999999999991,91
6.32999999999991,92
6.32999999999991,93
6.32999999999991,94
6.33999999999991,95
6.35999999999991,96
6.36999999999991,97
6.37999999999991,98
6.38999999999991,99
6.40999999999991,100
6.41999999999991,101
6.44999999999991,102
6.45999999999991,103
6.46999999999991,104
6.48999999999991,105
6.5099999999999,106
6.5199999999999,107
6.5299999999999,108
6.5399999999999,109
6.5499999999999,110
6.5499999999999,111
6.5599999999999,112
6.5799999999999,113
6.5799999999999,114
6.5899999999999,115
6.5899999999999,116
6.5999999999999,117
6.6199999999999,118
6.6299999999999,119
6.6399999999999,120
6.6399999999999,121
6.6599999999999,122
6.6799999999999,123
6.6899999999999,124
6.6899999999999,125
6.6999999999999,126
6.7199999999999,127
6.7199999999999,128
6.7399999999999,129
6.7399999999999,130
6.7399999999999,131
6.7599999999999,132
6.7699999999999,133
6.7899999999999,134
6.8199999999999,135
6.8299999999999,136
6.8299999999999,137
6.8599999999999,138
6.8699999999999,139
6.8899999999999,140
6.8999999999999,141
6.9099999999999,142
6.9199999999999,143
6.9199999999999,144
6.9299999999999,145
6.9299999999999,146
6.9399999999999,147
6.9499999999999,148
6.9499999999999,149
6.9499999999999,150
6.9499999999999,151
6.9599999999999,152
6.96999999999989,153
6.96999999999989,154
6.97999999999989,155
6.98999999999989,156
6.99999999999989,157
6.99999999999989,158
7.01999999999989,159
7.01999999999989,160
7.01999999999989,161
7.02999999999989,162
7.03999999999989,163
7.03999999999989,164
7.03999999999989,165
7.04999999999989,166
7.05999999999989,167
7.05999999999989,168
7.06999999999989,169
7.07999999999989,170
7.07999999999989,171
7.08999999999989,172
7.11999999999989,173
7.12999999999989,174
7.12999999999989,175
7.13999999999989,176
7.14999999999989,177
7.15999999999989,178
7.18999999999989,179
7.18999999999989,180
7.18999999999989,181
7.19999999999989,182
7.19999999999989,183
7.19999999999989,184
7.20999999999989,185
7.21999999999989,186
7.22999999999989,187
7.22999999999989,188
7.24999999999989,189
7.24999999999989,190
7.24999999999989,191
7.26999999999989,192
7.26999999999989,193
7.26999999999989,194
7.26999999999989,195
7.27999999999989,196
7.27999999999989,197
7.27999999999989,198
7.27999999999989,199
7.27999999999989,200
