"Decision","N","SD_ymax","SD_ymin","outcome","D"
5.2,29.3409333333333,32.4153863382825,26.2664803283842,"BF seq testing",0
5.24,29.3506,32.3879060413025,26.3132939586975,"BF seq testing",0.05
6.86,29.155,32.6096254928458,25.7003745071543,"BF seq testing",0.1
7.81333333333333,29.0507333333333,32.6655496848749,25.4359169817917,"BF seq testing",0.15
10.24,28.8124666666667,32.8110285517322,24.8139047816011,"BF seq testing",0.2
13.68,28.4080666666667,32.9466260743409,23.8695072589924,"BF seq testing",0.25
16.9,28.049,32.9836484897151,23.1143515102849,"BF seq testing",0.3
21.9333333333333,27.4682,32.9758381234167,21.9605618765833,"BF seq testing",0.35
26.8,26.96,32.8441290659698,21.0758709340302,"BF seq testing",0.4
32.1533333333333,26.3031333333333,32.6377829185838,19.9684837480829,"BF seq testing",0.45
38.5733333333333,25.6094,32.260608978729,18.958191021271,"BF seq testing",0.5
45.34,24.7249333333333,31.744944517989,17.7049221486776,"BF seq testing",0.55
52.64,23.7264666666667,31.0253979451994,16.427535388134,"BF seq testing",0.6
58.9066666666667,22.9330666666667,30.329306717306,15.5368266160273,"BF seq testing",0.65
67.0933333333333,21.7525333333333,29.1829331187837,14.322133547883,"BF seq testing",0.7
72.4733333333333,20.9044666666667,28.3034343669898,13.5054989663436,"BF seq testing",0.75
77.88,19.9241333333333,27.1635535354315,12.6847131312352,"BF seq testing",0.8
82.6866666666667,18.9952666666667,25.9993403431371,11.9911929901962,"BF seq testing",0.85
87.2133333333333,18.0873333333333,24.7515562447729,11.4231104218937,"BF seq testing",0.9
90.7266666666667,17.2543333333333,23.5476330717055,10.9610335949612,"BF seq testing",0.95
93.3266666666667,16.4930666666667,22.3705367776823,10.615596555651,"BF seq testing",1
95.2666666666667,15.7738666666667,21.2049282704631,10.3428050628702,"BF seq testing",1.05
96.8733333333333,15.1482,20.0517061998061,10.2446938001939,"BF seq testing",1.1
97.8066666666667,14.7347333333333,19.2799151236899,10.1895515429767,"BF seq testing",1.15
98.7533333333333,14.1755333333333,18.1291177960999,10.2219488705668,"BF seq testing",1.2
99.16,13.7650666666667,17.2777715506455,10.2523617826878,"BF seq testing",1.25
99.5133333333333,13.4604,16.6142169906914,10.3065830093086,"BF seq testing",1.3
99.7133333333333,13.1972,15.9997528446097,10.3946471553903,"BF seq testing",1.35
99.8533333333333,12.9752666666667,15.4221941466903,10.528339186643,"BF seq testing",1.4
99.9533333333333,12.7286666666667,14.7878560475354,10.6694772857979,"BF seq testing",1.45
99.9666666666667,12.5995333333333,14.4301024200113,10.7689642466554,"BF seq testing",1.5
5,30,32.4153863382825,26.2664803283842,"fixed N approach",0
5.41659190409648,30,32.3879060413025,26.3132939586975,"fixed N approach",0.05
6.67825249652227,30,32.6096254928458,25.7003745071543,"fixed N approach",0.1
8.81612571102662,30,32.6655496848749,25.4359169817917,"fixed N approach",0.15
11.8679435564047,30,32.8110285517322,24.8139047816011,"fixed N approach",0.2
15.8596672840293,30,32.9466260743409,23.8695072589924,"fixed N approach",0.25
20.78517717757,30,32.9836484897151,23.1143515102849,"fixed N approach",0.3
26.5884089303165,30,32.9758381234167,21.9605618765833,"fixed N approach",0.35
33.1521678919466,30,32.8441290659698,21.0758709340302,"fixed N approach",0.4
40.2967571773916,30,32.6377829185838,19.9684837480829,"fixed N approach",0.45
47.789652076021,30,32.260608978729,18.958191021271,"fixed N approach",0.5
55.3651172205433,30,31.744944517989,17.7049221486776,"fixed N approach",0.55
62.7504586974812,30,31.0253979451994,16.427535388134,"fixed N approach",0.6
69.694120718318,30,30.329306717306,15.5368266160273,"fixed N approach",0.65
75.9904918068216,30,29.1829331187837,14.322133547883,"fixed N approach",0.7
81.4971677247139,30,28.3034343669898,13.5054989663436,"fixed N approach",0.75
86.1422516023053,30,27.1635535354315,12.6847131312352,"fixed N approach",0.8
89.9215120061618,30,25.9993403431371,11.9911929901962,"fixed N approach",0.85
92.8872462312277,30,24.7515562447729,11.4231104218937,"fixed N approach",0.9
95.1320172830955,30,23.5476330717055,10.9610335949612,"fixed N approach",0.95
96.7708258242518,30,22.3705367776823,10.615596555651,"fixed N approach",1
97.924817020206,30,21.2049282704631,10.3428050628702,"fixed N approach",1.05
98.7086013455006,30,20.0517061998061,10.2446938001939,"fixed N approach",1.1
99.2220678320677,30,19.2799151236899,10.1895515429767,"fixed N approach",1.15
99.546520020883,30,18.1291177960999,10.2219488705668,"fixed N approach",1.2
99.7442688868691,30,17.2777715506455,10.2523617826878,"fixed N approach",1.25
99.8605217300845,30,16.6142169906914,10.3065830093086,"fixed N approach",1.3
99.9264423139129,30,15.9997528446097,10.3946471553903,"fixed N approach",1.35
99.9624975191323,30,15.4221941466903,10.528339186643,"fixed N approach",1.4
99.9815190707467,30,14.7878560475354,10.6694772857979,"fixed N approach",1.45
99.9911986508874,30,14.4301024200113,10.7689642466554,"fixed N approach",1.5
