"Decision","N","SD_ymax","SD_ymin","outcome","D"
5.24666666666667,29.3153333333333,32.4829244997891,26.1477421668775,"BF seq testing",0
5.94,29.2307333333333,32.5586907372456,25.9027759294211,"BF seq testing",0.05
8.18666666666667,29.0081333333333,32.6930809726939,25.3231856939727,"BF seq testing",0.1
10.6466666666667,28.708,32.9006651702008,24.5153348297992,"BF seq testing",0.15
14.7266666666667,28.2668666666667,32.9877071219807,23.5460262113527,"BF seq testing",0.2
20.36,27.6519333333333,32.9985729664032,22.3052937002635,"BF seq testing",0.25
28.2466666666667,26.7478666666667,32.7992083937551,20.6965249395782,"BF seq testing",0.3
36.38,25.8032,32.4042535538302,19.2021464461698,"BF seq testing",0.35
45.2666666666667,24.6379333333333,31.7066747726508,17.5691918940158,"BF seq testing",0.4
54.9266666666667,23.4308,30.7736427180903,16.0879572819097,"BF seq testing",0.45
63.9,22.1678,29.657289256504,14.678310743496,"BF seq testing",0.5
72.3333333333333,20.9047333333333,28.293569321185,13.5158973454816,"BF seq testing",0.55
79.8333333333333,19.5627333333333,26.745121769116,12.3803448975506,"BF seq testing",0.6
86.0533333333333,18.4409333333333,25.199292810584,11.6825738560827,"BF seq testing",0.65
91.0533333333333,17.1906,23.3989954919909,10.9822045080091,"BF seq testing",0.7
94.5466666666667,16.3067333333333,21.9689930772797,10.6444735893869,"BF seq testing",0.75
96.42,15.412,20.4638733253061,10.3601266746939,"BF seq testing",0.8
98.08,14.6518,19.0977128612031,10.2058871387969,"BF seq testing",0.85
99.0666666666667,14.0437333333333,17.8427835981254,10.2446830685413,"BF seq testing",0.9
99.4933333333333,13.5761333333333,16.8329790750239,10.3192875916428,"BF seq testing",0.95
99.8133333333333,13.1707333333333,15.8409752964704,10.5004913701962,"BF seq testing",1
99.9133333333333,12.905,15.2016192466314,10.6083807533686,"BF seq testing",1.05
99.9733333333333,12.6604,14.5429447595347,10.7778552404653,"BF seq testing",1.1
99.9866666666667,12.4832666666667,14.0503500655048,10.9161832678285,"BF seq testing",1.15
100,12.351,13.6412364049527,11.0607635950473,"BF seq testing",1.2
100,12.2418,13.2630095530612,11.2205904469388,"BF seq testing",1.25
100,12.1755333333333,13.0138460634274,11.3372206032393,"BF seq testing",1.3
100,12.1194666666667,12.7870174815826,11.4519158517507,"BF seq testing",1.35
100,12.0812666666667,12.6143220159716,11.5482113173618,"BF seq testing",1.4
100,12.0628666666667,12.5232960842457,11.6024372490877,"BF seq testing",1.45
100,12.0388,12.380514809845,11.697085190155,"BF seq testing",1.5
5,30,32.4829244997891,26.1477421668775,"fixed N NHST",0
5.80775280756803,30,32.5586907372456,25.9027759294211,"fixed N NHST",0.05
8.27260081988631,30,32.6930809726939,25.3231856939727,"fixed N NHST",0.1
12.4881770751787,30,32.9006651702008,24.5153348297992,"fixed N NHST",0.15
18.5183387126066,30,32.9877071219807,23.5460262113527,"fixed N NHST",0.2
26.29625267629,30,32.9985729664032,22.3052937002635,"fixed N NHST",0.25
35.5462731165749,30,32.7992083937551,20.6965249395782,"fixed N NHST",0.3
45.7655597856865,30,32.4042535538302,19.2021464461698,"fixed N NHST",0.35
56.2813607141207,30,31.7066747726508,17.5691918940158,"fixed N NHST",0.4
66.3698144848028,30,30.7736427180903,16.0879572819097,"fixed N NHST",0.45
75.3964715743852,30,29.657289256504,14.678310743496,"fixed N NHST",0.5
82.930334861849,30,28.293569321185,13.5158973454816,"fixed N NHST",0.55
88.7962103910214,30,26.745121769116,12.3803448975506,"fixed N NHST",0.6
93.0570628290454,30,25.199292810584,11.6825738560827,"fixed N NHST",0.65
95.9446073764943,30,23.3989954919909,10.9822045080091,"fixed N NHST",0.7
97.7703849308334,30,21.9689930772797,10.6444735893869,"fixed N NHST",0.75
98.8475240089106,30,20.4638733253061,10.3601266746939,"fixed N NHST",0.8
99.440473783944,30,19.0977128612031,10.2058871387969,"fixed N NHST",0.85
99.7450552711047,30,17.8427835981254,10.2446830685413,"fixed N NHST",0.9
99.8910528536593,30,16.8329790750239,10.3192875916428,"fixed N NHST",0.95
99.9563600961273,30,15.8409752964704,10.5004913701962,"fixed N NHST",1
99.9836227015415,30,15.2016192466314,10.6083807533686,"fixed N NHST",1.05
99.9942440672968,30,14.5429447595347,10.7778552404653,"fixed N NHST",1.1
99.9981061083516,30,14.0503500655048,10.9161832678285,"fixed N NHST",1.15
99.9994167781974,30,13.6412364049527,11.0607635950473,"fixed N NHST",1.2
99.9998319480938,30,13.2630095530612,11.2205904469388,"fixed N NHST",1.25
99.9999547006702,30,13.0138460634274,11.3372206032393,"fixed N NHST",1.3
99.9999885791194,30,12.7870174815826,11.4519158517507,"fixed N NHST",1.35
99.9999973072319,30,12.6143220159716,11.5482113173618,"fixed N NHST",1.4
99.9999994063487,30,12.5232960842457,11.6024372490877,"fixed N NHST",1.45
99.9999998776381,30,12.380514809845,11.697085190155,"fixed N NHST",1.5
