"Decision","N","SD_ymax","SD_ymin","outcome","D"
4.75333333333333,48.6695333333333,55.0796501618635,42.2594165048031,"BF seq testing",0
5.75333333333333,48.3851333333333,55.384366977121,41.3858996895457,"BF seq testing",0.05
8.72,47.7665333333333,55.7294968039707,39.803569862696,"BF seq testing",0.1
12.7266666666667,46.9261333333333,56.0743785061268,37.7778881605399,"BF seq testing",0.15
19.2866666666667,45.567,56.0584782438439,35.0755217561561,"BF seq testing",0.2
27.84,43.7223333333333,55.6537341358612,31.7909325308055,"BF seq testing",0.25
39.64,41.0254,54.4485578593785,27.6022421406215,"BF seq testing",0.3
51.9,38.2258,52.4551703078746,23.9964296921254,"BF seq testing",0.35
63.8066666666667,35.1035333333333,49.7990160178063,20.4080506488604,"BF seq testing",0.4
74.7666666666667,31.8181333333333,46.3273680607422,17.3088986059245,"BF seq testing",0.45
83.5266666666667,28.7171333333333,42.6761200445129,14.7581466221537,"BF seq testing",0.5
90.1133333333333,25.8529333333333,38.7454991218952,12.9603675447714,"BF seq testing",0.55
94.94,23.1756666666667,34.7947518901966,11.5565814431368,"BF seq testing",0.6
97.5666666666667,21.0518666666667,31.2453598691529,10.8583734641804,"BF seq testing",0.65
98.9066666666667,19.0100666666667,27.7287420065449,10.2913913267884,"BF seq testing",0.7
99.6466666666667,17.6176,25.0324388763594,10.2027611236406,"BF seq testing",0.75
99.8133333333333,16.4470666666667,22.9478472920074,9.94628604132598,"BF seq testing",0.8
99.94,15.4256,20.8842614145743,9.96693858542567,"BF seq testing",0.85
99.9866666666667,14.6588666666667,19.2595810119673,10.0581523213661,"BF seq testing",0.9
99.9933333333333,14.0514,17.9425567406174,10.1602432593826,"BF seq testing",0.95
100,13.5549333333333,16.6968075755343,10.4130590911324,"BF seq testing",1
100,13.2144666666667,15.9349869841076,10.4939463492258,"BF seq testing",1.05
100,12.9064,15.1633253319794,10.6494746680206,"BF seq testing",1.1
100,12.6798666666667,14.5783629843104,10.7813703490229,"BF seq testing",1.15
100,12.5016,14.0688995465209,10.9343004534791,"BF seq testing",1.2
100,12.3598666666667,13.6197350989987,11.0999982343347,"BF seq testing",1.25
100,12.265,13.3129415753926,11.2170584246074,"BF seq testing",1.3
100,12.183,13.006785717401,11.359214282599,"BF seq testing",1.35
100,12.1316,12.8293443871615,11.4338556128385,"BF seq testing",1.4
100,12.0993333333333,12.6925362341475,11.5061304325192,"BF seq testing",1.45
100,12.0633333333333,12.5121863012653,11.6144803654014,"BF seq testing",1.5
5,50,55.0796501618635,42.2594165048031,"fixed N approach",0
6.3878411551711,50,55.384366977121,41.3858996895457,"fixed N approach",0.05
10.6629064194756,50,55.7294968039707,39.803569862696,"fixed N approach",0.1
18.0135459757427,50,56.0743785061268,37.7778881605399,"fixed N approach",0.15
28.3592414667614,50,56.0584782438439,35.0755217561561,"fixed N approach",0.2
41.0380641761328,50,55.6537341358612,31.7909325308055,"fixed N approach",0.25
54.7657038970958,50,54.4485578593785,27.6022421406215,"fixed N approach",0.3
67.9459348981159,50,52.4551703078746,23.9964296921254,"fixed N approach",0.35
79.1787189268206,50,49.7990160178063,20.4080506488604,"fixed N approach",0.4
87.6785330330529,50,46.3273680607422,17.3088986059245,"fixed N approach",0.45
93.3897581261522,50,42.6761200445129,14.7581466221537,"fixed N approach",0.5
96.797492703862,50,38.7454991218952,12.9603675447714,"fixed N approach",0.55
98.6031344802771,50,34.7947518901966,11.5565814431368,"fixed N approach",0.6
99.4527792740473,50,31.2453598691529,10.8583734641804,"fixed N approach",0.65
99.8078319346833,50,27.7287420065449,10.2913913267884,"fixed N approach",0.7
99.9395989058675,50,25.0324388763594,10.2027611236406,"fixed N approach",0.75
99.9830286228573,50,22.9478472920074,9.94628604132598,"fixed N approach",0.8
99.9957414376809,50,20.8842614145743,9.96693858542567,"fixed N approach",0.85
99.9990464861649,50,19.2595810119673,10.0581523213661,"fixed N approach",0.9
99.9998096221677,50,17.9425567406174,10.1602432593826,"fixed N approach",0.95
99.9999661242752,50,16.6968075755343,10.4130590911324,"fixed N approach",1
99.9999946304071,50,15.9349869841076,10.4939463492258,"fixed N approach",1.05
99.9999992421124,50,15.1633253319794,10.6494746680206,"fixed N approach",1.1
99.9999999047784,50,14.5783629843104,10.7813703490229,"fixed N approach",1.15
99.9999999893534,50,14.0688995465209,10.9343004534791,"fixed N approach",1.2
99.9999999989409,50,13.6197350989987,11.0999982343347,"fixed N approach",1.25
99.9999999999063,50,13.3129415753926,11.2170584246074,"fixed N approach",1.3
99.9999999999926,50,13.006785717401,11.359214282599,"fixed N approach",1.35
99.9999999999995,50,12.8293443871615,11.4338556128385,"fixed N approach",1.4
100,50,12.6925362341475,11.5061304325192,"fixed N approach",1.45
100,50,12.5121863012653,11.6144803654014,"fixed N approach",1.5
