"Decision","N","SD_ymax","SD_ymin","outcome","D"
5.04,29.3452666666667,32.441764174391,26.2487691589423,"BF seq testing",0
5.77333333333333,29.2595333333333,32.5212023868329,25.9978642798338,"BF seq testing",0.05
7.94666666666667,29.0394666666667,32.6644519655035,25.4144813678298,"BF seq testing",0.1
10.3333333333333,28.7506666666667,32.8788021201586,24.6225312131747,"BF seq testing",0.15
14.3266666666667,28.3219333333333,32.9718222596079,23.6720444070588,"BF seq testing",0.2
19.7866666666667,27.7204,32.9997385255811,22.4410614744189,"BF seq testing",0.25
27.6333333333333,26.8346666666667,32.8159694752339,20.8533638580994,"BF seq testing",0.3
35.7066666666667,25.899,32.4426218512734,19.3553781487266,"BF seq testing",0.35
44.4466666666667,24.7452,31.7682547850087,17.7221452149913,"BF seq testing",0.4
54.2866666666667,23.5397333333333,30.8543753747984,16.2250912918682,"BF seq testing",0.45
63.24,22.2973333333333,29.7744263524745,14.8202403141921,"BF seq testing",0.5
71.7666666666667,21.0306,28.4170448560301,13.6441551439699,"BF seq testing",0.55
79.3133333333333,19.6832666666667,26.8743811471016,12.4921521862318,"BF seq testing",0.6
85.6733333333333,18.5599333333333,25.3478058284349,11.7720608382318,"BF seq testing",0.65
90.6866666666667,17.3036666666667,23.5521696453692,11.0551636879642,"BF seq testing",0.7
94.32,16.4130666666667,22.130696305028,10.6954370283054,"BF seq testing",0.75
96.28,15.5027333333333,20.6156061683252,10.3898604983415,"BF seq testing",0.8
97.9933333333333,14.7231333333333,19.2208913122985,10.2253753543682,"BF seq testing",0.85
98.9933333333333,14.1146666666667,17.9844103984908,10.2449229348425,"BF seq testing",0.9
99.4333333333333,13.628,16.9342483399173,10.3217516600827,"BF seq testing",0.95
99.8066666666667,13.2118,15.9265680240421,10.4970319759579,"BF seq testing",1
99.9066666666667,12.9446666666667,15.2948098751603,10.594523458173,"BF seq testing",1.05
99.9733333333333,12.6904666666667,14.6171139913086,10.7638193420248,"BF seq testing",1.1
99.9866666666667,12.5056666666667,14.1122385741066,10.8990947592267,"BF seq testing",1.15
100,12.3689333333333,13.6995495683387,11.038317098328,"BF seq testing",1.2
100,12.2546666666667,13.3011295476104,11.208203785723,"BF seq testing",1.25
100,12.1865333333333,13.0528985497027,11.320168116964,"BF seq testing",1.3
100,12.1254666666667,12.8087108180456,11.4422225152877,"BF seq testing",1.35
100,12.0872,12.6406286273312,11.5337713726688,"BF seq testing",1.4
100,12.0668,12.5427056549494,11.5908943450506,"BF seq testing",1.45
100,12.0421333333333,12.4031967719089,11.6810698947578,"BF seq testing",1.5
5,30,32.441764174391,26.2487691589423,"fixed N approach",0
5.80775280756803,30,32.5212023868329,25.9978642798338,"fixed N approach",0.05
8.27260081988631,30,32.6644519655035,25.4144813678298,"fixed N approach",0.1
12.4881770751787,30,32.8788021201586,24.6225312131747,"fixed N approach",0.15
18.5183387126066,30,32.9718222596079,23.6720444070588,"fixed N approach",0.2
