"Decision","N","SD_ymax","SD_ymin","outcome","D"
5.2,20.7438,28.4726902141853,13.0149097858147,"Stop for H1",0
7.48,21.4852666666667,29.2168577984444,13.7536755348889,"Stop for H1",0.05
9.87333333333333,22.2656666666667,29.97941984015,14.5519134931834,"Stop for H1",0.1
12.8733333333333,22.8172,30.4824963376852,15.1519036623148,"Stop for H1",0.15
17.3133333333333,23.1754666666667,30.7711841735156,15.5797491598177,"Stop for H1",0.2
21.66,23.5468,31.0533460083538,16.0402539916462,"Stop for H1",0.25
27.04,23.6953333333333,31.1533638845939,16.2373027820728,"Stop for H1",0.3
32.8933333333333,23.5561333333333,31.049601101074,16.0626655655927,"Stop for H1",0.35
39.1933333333333,23.1644,30.7264533994924,15.6023466005076,"Stop for H1",0.4
46.2533333333333,22.7406,30.3190303880911,15.1621696119089,"Stop for H1",0.45
53.1733333333333,22.0469333333333,29.696061684973,14.3978049816936,"Stop for H1",0.5
59.0866666666667,21.5752,29.2065800078397,13.9438199921603,"Stop for H1",0.55
66.18,20.6899333333333,28.2642418830002,13.1156247836665,"Stop for H1",0.6
72.4266666666667,19.9209333333333,27.3620246366889,12.4798420299777,"Stop for H1",0.65
77.8866666666667,19.0458666666667,26.3018209691972,11.7899123641361,"Stop for H1",0.7
83.4,18.1672666666667,25.0852200538682,11.2493132794651,"Stop for H1",0.75
87.26,17.405,23.9973697526709,10.8126302473291,"Stop for H1",0.8
90.62,16.6195333333333,22.816801994457,10.4222646722096,"Stop for H1",0.85
93.3733333333333,15.9151333333333,21.6057299489392,10.2245367177275,"Stop for H1",0.9
95.6,15.2319333333333,20.4246787121473,10.0391879545194,"Stop for H1",0.95
96.72,14.7047333333333,19.4539355039061,9.95553116276061,"Stop for H1",1
97.98,14.1970666666667,18.4195880352334,9.97454529809992,"Stop for H1",1.05
98.6933333333333,13.7757333333333,17.4945807960094,10.0568858706573,"Stop for H1",1.1
99.1466666666667,13.4828,16.867757117746,10.097842882254,"Stop for H1",1.15
99.5133333333333,13.1773333333333,16.075961691479,10.2787049751877,"Stop for H1",1.2
99.68,12.9732666666667,15.5926958836623,10.353837449671,"Stop for H1",1.25
99.7933333333333,12.7488666666667,14.9737551412058,10.5239781921275,"Stop for H1",1.3
99.9066666666667,12.6141333333333,14.6070637637136,10.6212029029531,"Stop for H1",1.35
99.9666666666667,12.4482666666667,14.060851659025,10.8356816743083,"Stop for H1",1.4
99.9666666666667,12.3633333333333,13.7773072287904,10.9493594378763,"Stop for H1",1.45
99.9933333333333,12.2738666666667,13.483285767665,11.0644475656683,"Stop for H1",1.5
62.5933333333333,20.7438,28.4726902141853,13.0149097858147,"Stop for H0",0
56.34,21.4852666666667,29.2168577984444,13.7536755348889,"Stop for H0",0.05
49.1266666666667,22.2656666666667,29.97941984015,14.5519134931834,"Stop for H0",0.1
42.1533333333333,22.8172,30.4824963376852,15.1519036623148,"Stop for H0",0.15
35.5066666666667,23.1754666666667,30.7711841735156,15.5797491598177,"Stop for H0",0.2
29.02,23.5468,31.0533460083538,16.0402539916462,"Stop for H0",0.25
23.26,23.6953333333333,31.1533638845939,16.2373027820728,"Stop for H0",0.3
18.08,23.5561333333333,31.049601101074,16.0626655655927,"Stop for H0",0.35
14.68,23.1644,30.7264533994924,15.6023466005076,"Stop for H0",0.4
10.96,22.7406,30.3190303880911,15.1621696119089,"Stop for H0",0.45
8.56,22.0469333333333,29.696061684973,14.3978049816936,"Stop for H0",0.5
6.18666666666667,21.5752,29.2065800078397,13.9438199921603,"Stop for H0",0.55
4.4,20.6899333333333,28.2642418830002,13.1156247836665,"Stop for H0",0.6
3.16666666666667,19.9209333333333,27.3620246366889,12.4798420299777,"Stop for H0",0.65
2.06,19.0458666666667,26.3018209691972,11.7899123641361,"Stop for H0",0.7
1.44,18.1672666666667,25.0852200538682,11.2493132794651,"Stop for H0",0.75
0.94,17.405,23.9973697526709,10.8126302473291,"Stop for H0",0.8
0.64,16.6195333333333,22.816801994457,10.4222646722096,"Stop for H0",0.85
0.52,15.9151333333333,21.6057299489392,10.2245367177275,"Stop for H0",0.9
0.253333333333333,15.2319333333333,20.4246787121473,10.0391879545194,"Stop for H0",0.95
0.173333333333333,14.7047333333333,19.4539355039061,9.95553116276061,"Stop for H0",1
0.14,14.1970666666667,18.4195880352334,9.97454529809992,"Stop for H0",1.05
0.04,13.7757333333333,17.4945807960094,10.0568858706573,"Stop for H0",1.1
0.0266666666666667,13.4828,16.867757117746,10.097842882254,"Stop for H0",1.15
0.0333333333333333,13.1773333333333,16.075961691479,10.2787049751877,"Stop for H0",1.2
0.0133333333333333,12.9732666666667,15.5926958836623,10.353837449671,"Stop for H0",1.25
0.02,12.7488666666667,14.9737551412058,10.5239781921275,"Stop for H0",1.3
0.00666666666666667,12.6141333333333,14.6070637637136,10.6212029029531,"Stop for H0",1.35
0.00666666666666667,12.4482666666667,14.060851659025,10.8356816743083,"Stop for H0",1.4
0,12.3633333333333,13.7773072287904,10.9493594378763,"Stop for H0",1.45
0,12.2738666666667,13.483285767665,11.0644475656683,"Stop for H0",1.5
67.7933333333333,20.7438,28.4726902141853,13.0149097858147,"Stop for H1 OR H0",0
63.82,21.4852666666667,29.2168577984444,13.7536755348889,"Stop for H1 OR H0",0.05
59,22.2656666666667,29.97941984015,14.5519134931834,"Stop for H1 OR H0",0.1
55.0266666666667,22.8172,30.4824963376852,15.1519036623148,"Stop for H1 OR H0",0.15
52.82,23.1754666666667,30.7711841735156,15.5797491598177,"Stop for H1 OR H0",0.2
50.68,23.5468,31.0533460083538,16.0402539916462,"Stop for H1 OR H0",0.25
50.3,23.6953333333333,31.1533638845939,16.2373027820728,"Stop for H1 OR H0",0.3
50.9733333333333,23.5561333333333,31.049601101074,16.0626655655927,"Stop for H1 OR H0",0.35
53.8733333333333,23.1644,30.7264533994924,15.6023466005076,"Stop for H1 OR H0",0.4
57.2133333333333,22.7406,30.3190303880911,15.1621696119089,"Stop for H1 OR H0",0.45
61.7333333333333,22.0469333333333,29.696061684973,14.3978049816936,"Stop for H1 OR H0",0.5
65.2733333333333,21.5752,29.2065800078397,13.9438199921603,"Stop for H1 OR H0",0.55
70.58,20.6899333333333,28.2642418830002,13.1156247836665,"Stop for H1 OR H0",0.6
75.5933333333333,19.9209333333333,27.3620246366889,12.4798420299777,"Stop for H1 OR H0",0.65
79.9466666666667,19.0458666666667,26.3018209691972,11.7899123641361,"Stop for H1 OR H0",0.7
84.84,18.1672666666667,25.0852200538682,11.2493132794651,"Stop for H1 OR H0",0.75
88.2,17.405,23.9973697526709,10.8126302473291,"Stop for H1 OR H0",0.8
91.26,16.6195333333333,22.816801994457,10.4222646722096,"Stop for H1 OR H0",0.85
93.8933333333333,15.9151333333333,21.6057299489392,10.2245367177275,"Stop for H1 OR H0",0.9
95.8533333333333,15.2319333333333,20.4246787121473,10.0391879545194,"Stop for H1 OR H0",0.95
