"Decision","N","SD_ymax","SD_ymin","outcome","D"
5.3,17.7266666666667,24.8461892205777,10.6071441127556,"Stop for H1",0
8.02,18.8956666666667,26.4372694764425,11.3540638568909,"Stop for H1",0.05
11.8066666666667,19.6859333333333,27.4137840548475,11.9580826118192,"Stop for H1",0.1
17.3466666666667,20.611,28.4424686443056,12.7795313556944,"Stop for H1",0.15
23.8466666666667,21.2533333333333,29.0829890807357,13.423677585931,"Stop for H1",0.2
30.9666666666667,21.4960666666667,29.2844615677507,13.7076717655827,"Stop for H1",0.25
39.82,21.4277333333333,29.1439379389964,13.7115287276702,"Stop for H1",0.3
49.0866666666667,21.2646,28.9321836890971,13.5970163109029,"Stop for H1",0.35
58.5533333333333,20.6715333333333,28.2406985757089,13.1023680909577,"Stop for H1",0.4
67.7,19.7563333333333,27.1879488025828,12.3247178640839,"Stop for H1",0.45
75.7066666666667,18.8772666666667,26.01975018901,11.7347831443233,"Stop for H1",0.5
83.1533333333333,17.907,24.6768207532796,11.1371792467204,"Stop for H1",0.55
88.4466666666667,16.8834,23.1569339526631,10.6098660473369,"Stop for H1",0.6
92.4533333333333,16.0346,21.7487094006925,10.3204905993075,"Stop for H1",0.65
95.0666666666667,15.234,20.3650491952806,10.1029508047194,"Stop for H1",0.7
97.34,14.4712666666667,18.9308593528527,10.0116739804806,"Stop for H1",0.75
98.56,13.8890666666667,17.6768166934732,10.1013166398601,"Stop for H1",0.8
99.2666666666667,13.4162666666667,16.6237071686652,10.2088261646682,"Stop for H1",0.85
99.5733333333333,13.0667333333333,15.7973212559089,10.3361454107577,"Stop for H1",0.9
99.8866666666667,12.7845333333333,15.0495828866222,10.5194837800445,"Stop for H1",0.95
99.9466666666667,12.5567333333333,14.3839545144456,10.7295121522211,"Stop for H1",1
99.9733333333333,12.3940666666667,13.8490761508496,10.9390571824838,"Stop for H1",1.05
99.9933333333333,12.2734,13.4300942708033,11.1167057291967,"Stop for H1",1.1
99.9933333333333,12.1860666666667,13.1163911060209,11.2557422273125,"Stop for H1",1.15
99.9933333333333,12.1327333333333,12.8621742158973,11.4032924507694,"Stop for H1",1.2
100,12.0847333333333,12.6563760369349,11.5130906297318,"Stop for H1",1.25
100,12.0550666666667,12.5122117140297,11.5979216193037,"Stop for H1",1.3
100,12.0354666666667,12.3744107738034,11.6965225595299,"Stop for H1",1.35
100,12.0206,12.2620805599989,11.7791194400011,"Stop for H1",1.4
100,12.0154666666667,12.2175314357391,11.8134018975943,"Stop for H1",1.45
100,12.0100666666667,12.1661658446031,11.8539674887302,"Stop for H1",1.5
77.1,17.7266666666667,24.8461892205777,10.6071441127556,"Stop for H0",0
68.4466666666667,18.8956666666667,26.4372694764425,11.3540638568909,"Stop for H0",0.05
59.9933333333333,19.6859333333333,27.4137840548475,11.9580826118192,"Stop for H0",0.1
50.0266666666667,20.611,28.4424686443056,12.7795313556944,"Stop for H0",0.15
40.04,21.2533333333333,29.0829890807357,13.423677585931,"Stop for H0",0.2
32.3066666666667,21.4960666666667,29.2844615677507,13.7076717655827,"Stop for H0",0.25
24.6666666666667,21.4277333333333,29.1439379389964,13.7115287276702,"Stop for H0",0.3
17.2666666666667,21.2646,28.9321836890971,13.5970163109029,"Stop for H0",0.35
12.34,20.6715333333333,28.2406985757089,13.1023680909577,"Stop for H0",0.4
8.62,19.7563333333333,27.1879488025828,12.3247178640839,"Stop for H0",0.45
5.88666666666667,18.8772666666667,26.01975018901,11.7347831443233,"Stop for H0",0.5
3.55333333333333,17.907,24.6768207532796,11.1371792467204,"Stop for H0",0.55
2.36,16.8834,23.1569339526631,10.6098660473369,"Stop for H0",0.6
1.33333333333333,16.0346,21.7487094006925,10.3204905993075,"Stop for H0",0.65
0.92,15.234,20.3650491952806,10.1029508047194,"Stop for H0",0.7
0.473333333333333,14.4712666666667,18.9308593528527,10.0116739804806,"Stop for H0",0.75
0.286666666666667,13.8890666666667,17.6768166934732,10.1013166398601,"Stop for H0",0.8
0.12,13.4162666666667,16.6237071686652,10.2088261646682,"Stop for H0",0.85
0.0866666666666667,13.0667333333333,15.7973212559089,10.3361454107577,"Stop for H0",0.9
0.0333333333333333,12.7845333333333,15.0495828866222,10.5194837800445,"Stop for H0",0.95
0.00666666666666667,12.5567333333333,14.3839545144456,10.7295121522211,"Stop for H0",1
0.0133333333333333,12.3940666666667,13.8490761508496,10.9390571824838,"Stop for H0",1.05
0.00666666666666667,12.2734,13.4300942708033,11.1167057291967,"Stop for H0",1.1
0,12.1860666666667,13.1163911060209,11.2557422273125,"Stop for H0",1.15
0.00666666666666667,12.1327333333333,12.8621742158973,11.4032924507694,"Stop for H0",1.2
0,12.0847333333333,12.6563760369349,11.5130906297318,"Stop for H0",1.25
0,12.0550666666667,12.5122117140297,11.5979216193037,"Stop for H0",1.3
0,12.0354666666667,12.3744107738034,11.6965225595299,"Stop for H0",1.35
0,12.0206,12.2620805599989,11.7791194400011,"Stop for H0",1.4
0,12.0154666666667,12.2175314357391,11.8134018975943,"Stop for H0",1.45
0,12.0100666666667,12.1661658446031,11.8539674887302,"Stop for H0",1.5
82.4,17.7266666666667,24.8461892205777,10.6071441127556,"Stop for H1 OR H0",0
76.4666666666667,18.8956666666667,26.4372694764425,11.3540638568909,"Stop for H1 OR H0",0.05
71.8,19.6859333333333,27.4137840548475,11.9580826118192,"Stop for H1 OR H0",0.1
67.3733333333333,20.611,28.4424686443056,12.7795313556944,"Stop for H1 OR H0",0.15
63.8866666666667,21.2533333333333,29.0829890807357,13.423677585931,"Stop for H1 OR H0",0.2
63.2733333333333,21.4960666666667,29.2844615677507,13.7076717655827,"Stop for H1 OR H0",0.25
64.4866666666667,21.4277333333333,29.1439379389964,13.7115287276702,"Stop for H1 OR H0",0.3
66.3533333333333,21.2646,28.9321836890971,13.5970163109029,"Stop for H1 OR H0",0.35
70.8933333333333,20.6715333333333,28.2406985757089,13.1023680909577,"Stop for H1 OR H0",0.4
76.32,19.7563333333333,27.1879488025828,12.3247178640839,"Stop for H1 OR H0",0.45
81.5933333333333,18.8772666666667,26.01975018901,11.7347831443233,"Stop for H1 OR H0",0.5
86.7066666666667,17.907,24.6768207532796,11.1371792467204,"Stop for H1 OR H0",0.55
90.8066666666667,16.8834,23.1569339526631,10.6098660473369,"Stop for H1 OR H0",0.6
93.7866666666667,16.0346,21.7487094006925,10.3204905993075,"Stop for H1 OR H0",0.65
95.9866666666667,15.234,20.3650491952806,10.1029508047194,"Stop for H1 OR H0",0.7
97.8133333333333,14.4712666666667,18.9308593528527,10.0116739804806,"Stop for H1 OR H0",0.75
98.8466666666667,13.8890666666667,17.6768166934732,10.1013166398601,"Stop for H1 OR H0",0.8
99.3866666666667,13.4162666666667,16.6237071686652,10.2088261646682,"Stop for H1 OR H0",0.85
99.66,13.0667333333333,15.7973212559089,10.3361454107577,"Stop for H1 OR H0",0.9
99.92,12.7845333333333,15.0495828866222,10.5194837800445,"Stop for H1 OR H0",0.95
99.9533333333333,12.5567333333333,14.3839545144456,10.7295121522211,"Stop for H1 OR H0",1
99.9866666666667,12.3940666666667,13.8490761508496,10.9390571824838,"Stop for H1 OR H0",1.05
100,12.2734,13.4300942708033,11.1167057291967,"Stop for H1 OR H0",1.1
99.9933333333333,12.1860666666667,13.1163911060209,11.2557422273125,"Stop for H1 OR H0",1.15
100,12.1327333333333,12.8621742158973,11.4032924507694,"Stop for H1 OR H0",1.2
100,12.0847333333333,12.6563760369349,11.5130906297318,"Stop for H1 OR H0",1.25
100,12.0550666666667,12.5122117140297,11.5979216193037,"Stop for H1 OR H0",1.3
100,12.0354666666667,12.3744107738034,11.6965225595299,"Stop for H1 OR H0",1.35
