"Decision","N","SD_ymax","SD_ymin","outcome","D"
6.49333333333333,25.5444666666667,40.0863688981581,11.0025644351752,"Stop for H1",0
9.54666666666667,27.0053333333333,41.9696096893758,12.0410569772908,"Stop for H1",0.05
13.2266666666667,28.7016,44.0691383472974,13.3340616527026,"Stop for H1",0.1
18,30.1409333333333,45.8256054176151,14.4562612490515,"Stop for H1",0.15
23.8733333333333,30.9778666666667,46.7711227773655,15.1846105559678,"Stop for H1",0.2
30.8133333333333,31.679,47.3966088686724,15.9613911313276,"Stop for H1",0.25
38.7533333333333,31.8568666666667,47.4592235960435,16.2545097372899,"Stop for H1",0.3
47,31.4496666666667,46.9961039649589,15.9032293683744,"Stop for H1",0.35
55.2533333333333,30.4535333333333,45.82546426603,15.0816024006367,"Stop for H1",0.4
64.5466666666667,29.195,44.1808226331423,14.2091773668577,"Stop for H1",0.45
71.2666666666667,27.6580666666667,42.3168435680628,12.9992897652705,"Stop for H1",0.5
78.4,26.3262666666667,40.3809759267586,12.2715574065747,"Stop for H1",0.55
84.6733333333333,24.4998,37.8099093369177,11.1896906630823,"Stop for H1",0.6
89.1666666666667,22.8938,35.3232497454526,10.4643502545474,"Stop for H1",0.65
92.9133333333333,21.2908,32.7691253202203,9.8124746797797,"Stop for H1",0.7
95.6533333333333,19.72,29.9592735508038,9.48072644919622,"Stop for H1",0.75
97.1,18.5272,27.8080370180559,9.24636298194408,"Stop for H1",0.8
98.2933333333333,17.427,25.808480832649,9.04551916735096,"Stop for H1",0.85
99.02,16.3985333333333,23.5772848599189,9.21978180674779,"Stop for H1",0.9
99.4933333333333,15.5238,21.7496507564168,9.29794924358317,"Stop for H1",0.95
99.68,14.912,20.4806314875179,9.34336851248206,"Stop for H1",1
99.8266666666667,14.3176,19.0709815909417,9.56421840905832,"Stop for H1",1.05
99.9333333333333,13.8491333333333,17.9563664498178,9.74190021684882,"Stop for H1",1.1
99.9533333333333,13.5214666666667,17.130955237467,9.91197809586631,"Stop for H1",1.15
99.96,13.2001333333333,16.2752230979895,10.1250435686772,"Stop for H1",1.2
99.9933333333333,12.988,15.7314937185735,10.2445062814265,"Stop for H1",1.25
99.9866666666667,12.7596,15.0718927193246,10.4473072806754,"Stop for H1",1.3
99.9933333333333,12.6176666666667,14.6496845050042,10.5856488283291,"Stop for H1",1.35
99.9933333333333,12.4500666666667,14.0920836408598,10.8080496924735,"Stop for H1",1.4
100,12.3627333333333,13.7867978424775,10.9386688241892,"Stop for H1",1.45
100,12.2744,13.4870016109359,11.0617983890641,"Stop for H1",1.5
76.1133333333333,25.5444666666667,40.0863688981581,11.0025644351752,"Stop for H0",0
69.6066666666667,27.0053333333333,41.9696096893758,12.0410569772908,"Stop for H0",0.05
61.72,28.7016,44.0691383472974,13.3340616527026,"Stop for H0",0.1
52.8,30.1409333333333,45.8256054176151,14.4562612490515,"Stop for H0",0.15
44.28,30.9778666666667,46.7711227773655,15.1846105559678,"Stop for H0",0.2
36.1666666666667,31.679,47.3966088686724,15.9613911313276,"Stop for H0",0.25
28.48,31.8568666666667,47.4592235960435,16.2545097372899,"Stop for H0",0.3
22.2266666666667,31.4496666666667,46.9961039649589,15.9032293683744,"Stop for H0",0.35
17.4,30.4535333333333,45.82546426603,15.0816024006367,"Stop for H0",0.4
12.7866666666667,29.195,44.1808226331423,14.2091773668577,"Stop for H0",0.45
9.76,27.6580666666667,42.3168435680628,12.9992897652705,"Stop for H0",0.5
6.94666666666667,26.3262666666667,40.3809759267586,12.2715574065747,"Stop for H0",0.55
4.61333333333333,24.4998,37.8099093369177,11.1896906630823,"Stop for H0",0.6
3.34666666666667,22.8938,35.3232497454526,10.4643502545474,"Stop for H0",0.65
2.14,21.2908,32.7691253202203,9.8124746797797,"Stop for H0",0.7
1.53333333333333,19.72,29.9592735508038,9.48072644919622,"Stop for H0",0.75
0.973333333333333,18.5272,27.8080370180559,9.24636298194408,"Stop for H0",0.8
0.633333333333333,17.427,25.808480832649,9.04551916735096,"Stop for H0",0.85
0.5,16.3985333333333,23.5772848599189,9.21978180674779,"Stop for H0",0.9
0.253333333333333,15.5238,21.7496507564168,9.29794924358317,"Stop for H0",0.95
0.18,14.912,20.4806314875179,9.34336851248206,"Stop for H0",1
0.133333333333333,14.3176,19.0709815909417,9.56421840905832,"Stop for H0",1.05
0.0333333333333333,13.8491333333333,17.9563664498178,9.74190021684882,"Stop for H0",1.1
0.0333333333333333,13.5214666666667,17.130955237467,9.91197809586631,"Stop for H0",1.15
0.0333333333333333,13.2001333333333,16.2752230979895,10.1250435686772,"Stop for H0",1.2
0.00666666666666667,12.988,15.7314937185735,10.2445062814265,"Stop for H0",1.25
0.0133333333333333,12.7596,15.0718927193246,10.4473072806754,"Stop for H0",1.3
0.00666666666666667,12.6176666666667,14.6496845050042,10.5856488283291,"Stop for H0",1.35
0.00666666666666667,12.4500666666667,14.0920836408598,10.8080496924735,"Stop for H0",1.4
0,12.3627333333333,13.7867978424775,10.9386688241892,"Stop for H0",1.45
0,12.2744,13.4870016109359,11.0617983890641,"Stop for H0",1.5
82.6066666666667,25.5444666666667,40.0863688981581,11.0025644351752,"Stop for H1 OR H0",0
79.1533333333333,27.0053333333333,41.9696096893758,12.0410569772908,"Stop for H1 OR H0",0.05
74.9466666666667,28.7016,44.0691383472974,13.3340616527026,"Stop for H1 OR H0",0.1
70.8,30.1409333333333,45.8256054176151,14.4562612490515,"Stop for H1 OR H0",0.15
68.1533333333333,30.9778666666667,46.7711227773655,15.1846105559678,"Stop for H1 OR H0",0.2
66.98,31.679,47.3966088686724,15.9613911313276,"Stop for H1 OR H0",0.25
67.2333333333333,31.8568666666667,47.4592235960435,16.2545097372899,"Stop for H1 OR H0",0.3
69.2266666666667,31.4496666666667,46.9961039649589,15.9032293683744,"Stop for H1 OR H0",0.35
72.6533333333333,30.4535333333333,45.82546426603,15.0816024006367,"Stop for H1 OR H0",0.4
77.3333333333333,29.195,44.1808226331423,14.2091773668577,"Stop for H1 OR H0",0.45
81.0266666666667,27.6580666666667,42.3168435680628,12.9992897652705,"Stop for H1 OR H0",0.5
85.3466666666667,26.3262666666667,40.3809759267586,12.2715574065747,"Stop for H1 OR H0",0.55
89.2866666666667,24.4998,37.8099093369177,11.1896906630823,"Stop for H1 OR H0",0.6
92.5133333333333,22.8938,35.3232497454526,10.4643502545474,"Stop for H1 OR H0",0.65
95.0533333333333,21.2908,32.7691253202203,9.8124746797797,"Stop for H1 OR H0",0.7
97.1866666666667,19.72,29.9592735508038,9.48072644919622,"Stop for H1 OR H0",0.75
98.0733333333333,18.5272,27.8080370180559,9.24636298194408,"Stop for H1 OR H0",0.8
98.9266666666667,17.427,25.808480832649,9.04551916735096,"Stop for H1 OR H0",0.85
99.52,16.3985333333333,23.5772848599189,9.21978180674779,"Stop for H1 OR H0",0.9
99.7466666666667,15.5238,21.7496507564168,9.29794924358317,"Stop for H1 OR H0",0.95
99.86,14.912,20.4806314875179,9.34336851248206,"Stop for H1 OR H0",1
99.96,14.3176,19.0709815909417,9.56421840905832,"Stop for H1 OR H0",1.05
99.9666666666667,13.8491333333333,17.9563664498178,9.74190021684882,"Stop for H1 OR H0",1.1
99.9866666666667,13.5214666666667,17.130955237467,9.91197809586631,"Stop for H1 OR H0",1.15
99.9933333333333,13.2001333333333,16.2752230979895,10.1250435686772,"Stop for H1 OR H0",1.2
100,12.988,15.7314937185735,10.2445062814265,"Stop for H1 OR H0",1.25
100,12.7596,15.0718927193246,10.4473072806754,"Stop for H1 OR H0",1.3
100,12.6176666666667,14.6496845050042,10.5856488283291,"Stop for H1 OR H0",1.35
100,12.4500666666667,14.0920836408598,10.8080496924735,"Stop for H1 OR H0",1.4
100,12.3627333333333,13.7867978424775,10.9386688241892,"Stop for H1 OR H0",1.45
100,12.2744,13.4870016109359,11.0617983890641,"Stop for H1 OR H0",1.5
