"Decision","N","SD_ymax","SD_ymin","outcome","D"
4.56,15.5888,21.6278406987234,9.54975930127662,"Stop for H1",0
6.92,16.4125333333333,22.9832583981503,9.84180826851636,"Stop for H1",0.05
10.3866666666667,17.4345333333333,24.5321577622338,10.3369089044329,"Stop for H1",0.1
14.82,18.2394,25.6440298270874,10.8347701729126,"Stop for H1",0.15
21.0533333333333,18.9101333333333,26.4406913871916,11.3795752794751,"Stop for H1",0.2
28.04,19.4785333333333,27.1188451162275,11.8382215504392,"Stop for H1",0.25
36.4,19.7716,27.3744385258562,12.1687614741438,"Stop for H1",0.3
45.04,19.8864666666667,27.4408240011153,12.332109332218,"Stop for H1",0.35
55.1133333333333,19.6374,27.0337663368575,12.2410336631425,"Stop for H1",0.4
62.7533333333333,19.2351333333333,26.5331739202751,11.9370927463916,"Stop for H1",0.45
72.4,18.5662666666667,25.5965419372551,11.5359913960782,"Stop for H1",0.5
79.1733333333333,17.7691333333333,24.4612196684651,11.0770469982016,"Stop for H1",0.55
85.84,16.9056666666667,23.1201558557002,10.6911774776332,"Stop for H1",0.6
90.86,16.0388,21.7368574833832,10.3407425166168,"Stop for H1",0.65
93.92,15.3234666666667,20.4888077040127,10.1581256293206,"Stop for H1",0.7
96.1533333333333,14.6720666666667,19.2837992695751,10.0603340637582,"Stop for H1",0.75
97.72,14.1030666666667,18.1205185859247,10.0856147474086,"Stop for H1",0.8
98.64,13.61,17.0854815395082,10.1345184604918,"Stop for H1",0.85
99.2866666666667,13.2117333333333,16.1287414337631,10.2947252329036,"Stop for H1",0.9
99.7133333333333,12.8692,15.2606164459948,10.4777835540052,"Stop for H1",0.95
99.92,12.6534,14.680304617758,10.626495382242,"Stop for H1",1
99.9333333333333,12.4676666666667,14.0817489362532,10.8535843970801,"Stop for H1",1.05
99.98,12.3030666666667,13.5092096574779,11.0969236758554,"Stop for H1",1.1
99.9866666666667,12.2392,13.3154561258749,11.1629438741251,"Stop for H1",1.15
100,12.1527333333333,12.9693015471396,11.3361651195271,"Stop for H1",1.2
100,12.1105333333333,12.7723073974088,11.4487592692578,"Stop for H1",1.25
100,12.0718,12.5867716235401,11.5568283764599,"Stop for H1",1.3
100,12.0401333333333,12.3909383881734,11.6893282784933,"Stop for H1",1.35
100,12.0288666666667,12.3346546367392,11.7230786965942,"Stop for H1",1.4
100,12.0182,12.2339279055553,11.8024720944447,"Stop for H1",1.45
99.9933333333333,12.0122,12.2013742031179,11.8230257968821,"Stop for H1",1.5
85.9333333333333,15.5888,21.6278406987234,9.54975930127662,"Stop for H0",0
80.2066666666667,16.4125333333333,22.9832583981503,9.84180826851636,"Stop for H0",0.05
72.2066666666667,17.4345333333333,24.5321577622338,10.3369089044329,"Stop for H0",0.1
64.2266666666667,18.2394,25.6440298270874,10.8347701729126,"Stop for H0",0.15
55.6066666666667,18.9101333333333,26.4406913871916,11.3795752794751,"Stop for H0",0.2
45.9733333333333,19.4785333333333,27.1188451162275,11.8382215504392,"Stop for H0",0.25
37.2533333333333,19.7716,27.3744385258562,12.1687614741438,"Stop for H0",0.3
29.0466666666667,19.8864666666667,27.4408240011153,12.332109332218,"Stop for H0",0.35
21.56,19.6374,27.0337663368575,12.2410336631425,"Stop for H0",0.4
16.0666666666667,19.2351333333333,26.5331739202751,11.9370927463916,"Stop for H0",0.45
11.1066666666667,18.5662666666667,25.5965419372551,11.5359913960782,"Stop for H0",0.5
8.06666666666667,17.7691333333333,24.4612196684651,11.0770469982016,"Stop for H0",0.55
5.38,16.9056666666667,23.1201558557002,10.6911774776332,"Stop for H0",0.6
3.3,16.0388,21.7368574833832,10.3407425166168,"Stop for H0",0.65
2.25333333333333,15.3234666666667,20.4888077040127,10.1581256293206,"Stop for H0",0.7
1.42666666666667,14.6720666666667,19.2837992695751,10.0603340637582,"Stop for H0",0.75
0.806666666666667,14.1030666666667,18.1205185859247,10.0856147474086,"Stop for H0",0.8
0.446666666666667,13.61,17.0854815395082,10.1345184604918,"Stop for H0",0.85
0.293333333333333,13.2117333333333,16.1287414337631,10.2947252329036,"Stop for H0",0.9
0.1,12.8692,15.2606164459948,10.4777835540052,"Stop for H0",0.95
0.0133333333333333,12.6534,14.680304617758,10.626495382242,"Stop for H0",1
0.04,12.4676666666667,14.0817489362532,10.8535843970801,"Stop for H0",1.05
0.02,12.3030666666667,13.5092096574779,11.0969236758554,"Stop for H0",1.1
0.0133333333333333,12.2392,13.3154561258749,11.1629438741251,"Stop for H0",1.15
0,12.1527333333333,12.9693015471396,11.3361651195271,"Stop for H0",1.2
0,12.1105333333333,12.7723073974088,11.4487592692578,"Stop for H0",1.25
0,12.0718,12.5867716235401,11.5568283764599,"Stop for H0",1.3
0,12.0401333333333,12.3909383881734,11.6893282784933,"Stop for H0",1.35
0,12.0288666666667,12.3346546367392,11.7230786965942,"Stop for H0",1.4
0,12.0182,12.2339279055553,11.8024720944447,"Stop for H0",1.45
0.00666666666666667,12.0122,12.2013742031179,11.8230257968821,"Stop for H0",1.5
90.4933333333333,15.5888,21.6278406987234,9.54975930127662,"Stop for H1 OR H0",0
87.1266666666667,16.4125333333333,22.9832583981503,9.84180826851636,"Stop for H1 OR H0",0.05
82.5933333333333,17.4345333333333,24.5321577622338,10.3369089044329,"Stop for H1 OR H0",0.1
79.0466666666667,18.2394,25.6440298270874,10.8347701729126,"Stop for H1 OR H0",0.15
