"Decision","N","SD_ymax","SD_ymin","outcome","D"
4.08666666666667,15.3608666666667,18.9320511769017,11.7896821564316,"Stop for H1",0
5.90666666666667,15.8825333333333,19.5205388200184,12.2445278466483,"Stop for H1",0.05
8.71333333333333,16.2273333333333,19.8688536568942,12.5858130097725,"Stop for H1",0.1
12.4133333333333,16.6381333333333,20.2465384133334,13.0297282533333,"Stop for H1",0.15
16.7533333333333,16.926,20.4723637404698,13.3796362595302,"Stop for H1",0.2
21.5733333333333,17.0587333333333,20.576968060285,13.5404986063817,"Stop for H1",0.25
28.2133333333333,17.0740666666667,20.5606396557639,13.5874936775694,"Stop for H1",0.3
35.1933333333333,17.0362,20.5232379295664,13.5491620704336,"Stop for H1",0.35
42.1866666666667,16.833,20.3547899616013,13.3112100383987,"Stop for H1",0.4
50.42,16.4555333333333,20.0328613679536,12.8782052987131,"Stop for H1",0.45
57.7466666666667,16.1181333333333,19.6939358455623,12.5423308211044,"Stop for H1",0.5
65.5666666666667,15.6965333333333,19.2410989736614,12.1519676930053,"Stop for H1",0.55
72.76,15.2031333333333,18.6579076935409,11.7483589731258,"Stop for H1",0.6
78.9266666666667,14.7916666666667,18.1257839878542,11.4575493454791,"Stop for H1",0.65
83.8866666666667,14.3357333333333,17.4865763395248,11.1848903271419,"Stop for H1",0.7
88.54,13.8748666666667,16.789091748813,10.9606415845203,"Stop for H1",0.75
91.9266666666667,13.5154666666667,16.1691616231409,10.8617717101924,"Stop for H1",0.8
94.8,13.1793333333333,15.5265459034568,10.8321207632099,"Stop for H1",0.85
96.48,12.9129333333333,14.9860081602924,10.8398585063742,"Stop for H1",0.9
97.62,12.6929333333333,14.5037697894498,10.8820968772169,"Stop for H1",0.95
98.58,12.5079333333333,14.0439762008129,10.9718904658537,"Stop for H1",1
99.2466666666667,12.37,13.6446273880362,11.0953726119638,"Stop for H1",1.05
99.5466666666667,12.2617333333333,13.3162331168998,11.2072335497668,"Stop for H1",1.1
99.7866666666667,12.1784,13.0171810661381,11.3396189338619,"Stop for H1",1.15
99.9,12.1307333333333,12.8336380688606,11.427828597806,"Stop for H1",1.2
99.94,12.0836666666667,12.6380615732718,11.5292717600615,"Stop for H1",1.25
99.94,12.0540666666667,12.4912808086718,11.6168525246615,"Stop for H1",1.3
99.9933333333333,12.0353333333333,12.3707321830354,11.6999344836313,"Stop for H1",1.35
100,12.0206,12.2620805599989,11.7791194400011,"Stop for H1",1.4
100,12.0154666666667,12.2175314357391,11.8134018975943,"Stop for H1",1.45
100,12.0100666666667,12.1661658446031,11.8539674887302,"Stop for H1",1.5
65.9133333333333,15.3608666666667,18.9320511769017,11.7896821564316,"Stop for H0",0
57.2666666666667,15.8825333333333,19.5205388200184,12.2445278466483,"Stop for H0",0.05
49.84,16.2273333333333,19.8688536568942,12.5858130097725,"Stop for H0",0.1
